年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,礦業及土石採取業各業,266,130785,72705,58080
2019,高階主管(總經理及總執行長),礦業及土石採取業各業,14,129852,99204,30648
2019,中階主管(經理),礦業及土石採取業各業,82,122199,80370,41829
2019,監督人員(含現場及辦公室主任、科/股長),礦業及土石採取業各業,170,135003,66826,68177
2019,專業人員,礦業及土石採取業各業,294,107227,61337,45890
2019,工管及生管工程師,礦業及土石採取業各業,10,123572,75015,48557
2019,土木及水利工程師,礦業及土石採取業各業,8,89369,46824,42545
2019,環境工程師,礦業及土石採取業各業,9,112300,60980,51320
2019,機械工程師(含造船、輪機、鑄造),礦業及土石採取業各業,18,109536,57545,51991
2019,化工工程師,礦業及土石採取業各業,6,83129,54353,28776
2019,地質、採礦、鑽探、冶金工程師,礦業及土石採取業各業,155,102083,60006,42077
2019,電機工程師,礦業及土石採取業各業,12,120908,63790,57118
2019,電子工程師,礦業及土石採取業各業,… ,… ,… ,… 
2019,測量師及製圖師,礦業及土石採取業各業,… ,… ,… ,… 
2019,護理人員,礦業及土石採取業各業,13,112159,55292,56867
2019,勞安及衛生管理人員(含工業安全管理師),礦業及土石採取業各業,19,101341,63419,37922
2019,專案管理師(含經營管理顧問),礦業及土石採取業各業,20,118125,69625,48500
2019,稽核人員,礦業及土石採取業各業,… ,… ,… ,… 
2019,人力資源管理師,礦業及土石採取業各業,… ,… ,… ,… 
2019,公關專業人員,礦業及土石採取業各業,… ,… ,… ,… 
2019,軟體開發及程式設計師,礦業及土石採取業各業,7,132951,63230,69721
2019,技術員及助理專業人員,礦業及土石採取業各業,468,81100,53454,27646
2019,營建工程技術員(含建築、土木、景觀、測量、水利),礦業及土石採取業各業,20,119273,62861,56412
2019,機械技術員(含造船、輪機、鑄造),礦業及土石採取業各業,22,58039,44907,13132
2019,化工技術員,礦業及土石採取業各業,… ,… ,… ,… 
2019,品管技術員,礦業及土石採取業各業,14,45077,44981,96
2019,地質、採礦、鑽探、冶金技術員,礦業及土石採取業各業,219,88865,53616,35249
2019,環境工程技術員,礦業及土石採取業各業,7,30612,30612,— 
2019,焚化爐、水處理及氣(液)體設備操作員,礦業及土石採取業各業,63,77410,60156,17254
2019,石油及天然氣精煉設備操作員,礦業及土石採取業各業,47,63767,56164,7603
2019,勞安及衛生技術員,礦業及土石採取業各業,17,35400,33274,2126
2019,統計及精算助理專業人員,礦業及土石採取業各業,16,123363,62555,60808
2019,工商業銷售代表(含業務員),礦業及土石採取業各業,18,39856,39856,— 
2019,採購員,礦業及土石採取業各業,12,108659,56833,51826
2019,法務人員,礦業及土石採取業各業,… ,… ,… ,… 
2019,資訊管理及維護技術員,礦業及土石採取業各業,… ,… ,… ,… 
2019,事務支援人員,礦業及土石採取業各業,529,50232,34857,15375
2019,總務,礦業及土石採取業各業,31,38826,35590,3236
2019,一般辦公室事務人員(含文書),礦業及土石採取業各業,268,53752,35805,17947
2019,資料輸入人員,礦業及土石採取業各業,21,34639,27327,7312
2019,總機人員,礦業及土石採取業各業,… ,… ,… ,… 
2019,會計助理、簿記、出納,礦業及土石採取業各業,142,40233,31187,9046
2019,存貨事務人員,礦業及土石採取業各業,26,94234,47118,47116
2019,運輸事務人員(含稽查、調度、管理、航務),礦業及土石採取業各業,16,37707,30914,6793
2019,人事事務人員,礦業及土石採取業各業,23,61433,41810,19623
2019,服務及銷售工作人員,礦業及土石採取業各業,58,70230,46176,24054
2019,廚師,礦業及土石採取業各業,… ,… ,… ,… 
2019,消防人員,礦業及土石採取業各業,12,69570,55797,13773
2019,建築物管理員、保全及警衛人員,礦業及土石採取業各業,30,75396,40245,35151
2019,救生員,礦業及土石採取業各業,… ,… ,… ,… 
2019,技藝、機械設備操作及組裝人員,礦業及土石採取業各業,1622,48008,37404,10604
2019,砌石、裁石及石雕人員,礦業及土石採取業各業,27,33715,33715,— 
2019,管道裝設人員(含檢修),礦業及土石採取業各業,31,120974,57781,63193
2019,焊接及切割人員(含電焊工、氣焊工),礦業及土石採取業各業,46,51745,37544,14201
2019,工具製造人員(含模具工、鉗工),礦業及土石採取業各業,23,86491,48957,37534
2019,車輛維修人員(含自行車、機車、汽車、火車),礦業及土石採取業各業,31,50778,41153,9625
2019,產業用機器維修人員,礦業及土石採取業各業,13,69356,36942,32414
2019,電力機械裝修人員,礦業及土石採取業各業,64,67454,44857,22597
2019,電子設備裝修人員（不含資通訊設備）,礦業及土石採取業各業,50,84963,50616,34347
2019,木材處理、家具木工及有關工作人員,礦業及土石採取業各業,… ,… ,… ,… 
2019,採礦及採石人員(含爆破人員),礦業及土石採取業各業,186,30027,30027,— 
2019,礦石及石材處理設備操作員,礦業及土石採取業各業,342,31311,31281,30
2019,鑽井及有關工作人員,礦業及土石採取業各業,115,84611,46501,38110
2019,原油處理工,礦業及土石採取業各業,22,90002,55222,34780
2019,化學產品機械操作員(不含藥品、化粧品及照相產品),礦業及土石採取業各業,… ,… ,… ,… 
2019,小客、貨車駕駛人員,礦業及土石採取業各業,64,57260,38344,18916
2019,大客、貨車駕駛人員,礦業及土石採取業各業,266,36879,35763,1116
2019,推土、吊車、起重機等移運設備操作人員,礦業及土石採取業各業,331,45895,38128,7767
2019,基層技術工及勞力工,礦業及土石採取業各業,221,26844,24965,1879
2019,清潔及家事工作人員(含建築清潔工),礦業及土石採取業各業,54,22363,22363,— 
2019,勞力工,礦業及土石採取業各業,166,28317,25815,2502
2019,廚房幫工(含速食烹調),礦業及土石採取業各業,… ,… ,… ,… 
2019,主管及監督人員,石油及天然氣礦業,108,192722,105795,86927
2019,高階主管(總經理及總執行長),石油及天然氣礦業,… ,… ,… ,… 
2019,中階主管(經理),石油及天然氣礦業,34,213153,112271,100882
2019,監督人員(含現場及辦公室主任、科/股長),石油及天然氣礦業,69,181794,101662,80132
2019,專業人員,石油及天然氣礦業,268,112383,62476,49907
2019,工管及生管工程師,石油及天然氣礦業,10,123572,75015,48557
2019,土木及水利工程師,石油及天然氣礦業,8,89369,46824,42545
2019,環境工程師,石油及天然氣礦業,9,112300,60980,51320
2019,機械工程師(含造船、輪機、鑄造),石油及天然氣礦業,18,109536,57545,51991
2019,化工工程師,石油及天然氣礦業,6,83129,54353,28776
2019,地質、採礦、鑽探、冶金工程師,石油及天然氣礦業,133,109932,61770,48162
2019,電機工程師,石油及天然氣礦業,12,120908,63790,57118
2019,電子工程師,石油及天然氣礦業,… ,… ,… ,… 
2019,測量師及製圖師,石油及天然氣礦業,… ,… ,… ,… 
2019,護理人員,石油及天然氣礦業,13,112159,55292,56867
2019,勞安及衛生管理人員(含工業安全管理師),石油及天然氣礦業,15,114765,66731,48034
2019,專案管理師(含經營管理顧問),石油及天然氣礦業,20,118125,69625,48500
2019,稽核人員,石油及天然氣礦業,… ,… ,… ,… 
2019,人力資源管理師,石油及天然氣礦業,… ,… ,… ,… 
2019,公關專業人員,石油及天然氣礦業,… ,… ,… ,… 
2019,軟體開發及程式設計師,石油及天然氣礦業,7,132951,63230,69721
2019,技術員及助理專業人員,石油及天然氣礦業,387,84601,57033,27568
2019,營建工程技術員(含建築、土木、景觀、測量、水利),石油及天然氣礦業,20,119273,62861,56412
2019,機械技術員(含造船、輪機、鑄造),石油及天然氣礦業,15,67111,49180,17931
2019,化工技術員,石油及天然氣礦業,… ,… ,… ,… 
2019,品管技術員,石油及天然氣礦業,… ,… ,… ,… 
2019,地質、採礦、鑽探、冶金技術員,石油及天然氣礦業,191,84643,56005,28638
2019,環境工程技術員,石油及天然氣礦業,— ,— ,— ,— 
2019,焚化爐、水處理及氣(液)體設備操作員,石油及天然氣礦業,63,77410,60156,17254
2019,石油及天然氣精煉設備操作員,石油及天然氣礦業,47,63767,56164,7603
2019,勞安及衛生技術員,石油及天然氣礦業,… ,… ,… ,… 
2019,統計及精算助理專業人員,石油及天然氣礦業,16,123363,62555,60808
2019,工商業銷售代表(含業務員),石油及天然氣礦業,— ,— ,— ,— 
2019,採購員,石油及天然氣礦業,12,108659,56833,51826
2019,法務人員,石油及天然氣礦業,… ,… ,… ,… 
2019,資訊管理及維護技術員,石油及天然氣礦業,… ,… ,… ,… 
2019,事務支援人員,石油及天然氣礦業,186,89244,51686,37558
2019,總務,石油及天然氣礦業,7,64215,49885,14330
2019,一般辦公室事務人員(含文書),石油及天然氣礦業,112,84720,51379,33341
2019,資料輸入人員,石油及天然氣礦業,… ,… ,… ,… 
2019,總機人員,石油及天然氣礦業,— ,— ,— ,— 
2019,會計助理、簿記、出納,石油及天然氣礦業,27,100577,53605,46972
2019,存貨事務人員,石油及天然氣礦業,21,106913,50192,56721
2019,運輸事務人員(含稽查、調度、管理、航務),石油及天然氣礦業,… ,… ,… ,… 
2019,人事事務人員,石油及天然氣礦業,15,80337,50249,30088
2019,服務及銷售工作人員,石油及天然氣礦業,38,91898,55184,36714
2019,廚師,石油及天然氣礦業,— ,— ,— ,— 
2019,消防人員,石油及天然氣礦業,12,69570,55797,13773
2019,建築物管理員、保全及警衛人員,石油及天然氣礦業,… ,… ,… ,… 
2019,救生員,石油及天然氣礦業,… ,… ,… ,… 
2019,技藝、機械設備操作及組裝人員,石油及天然氣礦業,392,93154,50807,42347
2019,砌石、裁石及石雕人員,石油及天然氣礦業,— ,— ,— ,— 
2019,管道裝設人員(含檢修),石油及天然氣礦業,31,120974,57781,63193
2019,焊接及切割人員(含電焊工、氣焊工),石油及天然氣礦業,24,74672,47454,27218
2019,工具製造人員(含模具工、鉗工),石油及天然氣礦業,23,86491,48957,37534
2019,車輛維修人員(含自行車、機車、汽車、火車),石油及天然氣礦業,… ,… ,… ,… 
2019,產業用機器維修人員,石油及天然氣礦業,… ,… ,… ,… 
2019,電力機械裝修人員,石油及天然氣礦業,50,78435,49511,28924
2019,電子設備裝修人員（不含資通訊設備）,石油及天然氣礦業,50,84963,50616,34347
2019,木材處理、家具木工及有關工作人員,石油及天然氣礦業,… ,… ,… ,… 
2019,採礦及採石人員(含爆破人員),石油及天然氣礦業,— ,— ,— ,— 
2019,礦石及石材處理設備操作員,石油及天然氣礦業,— ,— ,— ,— 
2019,鑽井及有關工作人員,石油及天然氣礦業,115,84611,46501,38110
2019,原油處理工,石油及天然氣礦業,22,90002,55222,34780
2019,化學產品機械操作員(不含藥品、化粧品及照相產品),石油及天然氣礦業,… ,… ,… ,… 
2019,小客、貨車駕駛人員,石油及天然氣礦業,… ,… ,… ,… 
2019,大客、貨車駕駛人員,石油及天然氣礦業,… ,… ,… ,… 
2019,推土、吊車、起重機等移運設備操作人員,石油及天然氣礦業,31,125629,57519,68110
2019,基層技術工及勞力工,石油及天然氣礦業,— ,— ,— ,— 
2019,清潔及家事工作人員(含建築清潔工),石油及天然氣礦業,— ,— ,— ,— 
2019,勞力工,石油及天然氣礦業,— ,— ,— ,— 
2019,廚房幫工(含速食烹調),石油及天然氣礦業,— ,— ,— ,— 
2019,主管及監督人員,砂、石採取及其他礦業,158,88447,50086,38361
2019,高階主管(總經理及總執行長),砂、石採取及其他礦業,9,88313,88313,— 
2019,中階主管(經理),砂、石採取及其他礦業,48,57773,57773,— 
2019,監督人員(含現場及辦公室主任、科/股長),砂、石採取及其他礦業,101,103037,43027,60010
2019,專業人員,砂、石採取及其他礦業,26,54075,49599,4476
2019,工管及生管工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2019,土木及水利工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2019,環境工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2019,機械工程師(含造船、輪機、鑄造),砂、石採取及其他礦業,— ,— ,— ,— 
2019,化工工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2019,地質、採礦、鑽探、冶金工程師,砂、石採取及其他礦業,22,54634,49344,5290
2019,電機工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2019,電子工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2019,測量師及製圖師,砂、石採取及其他礦業,— ,— ,— ,— 
2019,護理人員,砂、石採取及其他礦業,— ,— ,— ,— 
2019,勞安及衛生管理人員(含工業安全管理師),砂、石採取及其他礦業,… ,… ,… ,… 
2019,專案管理師(含經營管理顧問),砂、石採取及其他礦業,— ,— ,— ,— 
2019,稽核人員,砂、石採取及其他礦業,— ,— ,— ,— 
2019,人力資源管理師,砂、石採取及其他礦業,— ,— ,— ,— 
2019,公關專業人員,砂、石採取及其他礦業,— ,— ,— ,— 
2019,軟體開發及程式設計師,砂、石採取及其他礦業,— ,— ,— ,— 
2019,技術員及助理專業人員,砂、石採取及其他礦業,81,64373,36355,28018
