年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,製造業各業,263822,139115,76150,62965
2019,高階主管(總經理及總執行長),製造業各業,23159,264634,142955,121679
2019,中階主管(經理),製造業各業,82322,194161,90865,103296
2019,監督人員(含現場及辦公室主任、科/股長),製造業各業,158341,92139,58730,33409
2019,專業人員,製造業各業,254499,109362,59122,50240
2019,農、林、漁、牧業專業人員,製造業各業,253,60382,58017,2365
2019,品管工程師,製造業各業,18047,89693,54927,34766
2019,工管及生管工程師,製造業各業,19593,91680,56409,35271
2019,土木及水利工程師,製造業各業,121,121092,58857,62235
2019,環境工程師,製造業各業,651,96834,60342,36492
2019,航空機械工程師,製造業各業,868,91835,77133,14702
2019,冷凍空調工程師,製造業各業,938,237511,58654,178857
2019,機械工程師(含造船、輪機、鑄造),製造業各業,30804,112036,57257,54779
2019,食品工程師,製造業各業,1151,54930,50611,4319
2019,化工工程師,製造業各業,13443,119592,60713,58879
2019,地質、採礦、鑽探、冶金工程師,製造業各業,204,226975,71062,155913
2019,紡織工程師,製造業各業,1222,75825,48644,27181
2019,醫療器材、醫學工程師,製造業各業,906,50181,48897,1284
2019,生物科學工程師,製造業各業,1858,51105,48545,2560
2019,光學工程師,製造業各業,2557,101760,60426,41334
2019,電機工程師,製造業各業,30468,85944,61449,24495
2019,電子工程師,製造業各業,56181,149069,62071,86998
2019,電信工程師,製造業各業,3247,90478,62354,28124
2019,建築工程師(含建築師),製造業各業,10,80413,76826,3587
2019,平面及多媒體設計師,製造業各業,735,48263,41085,7178
2019,產品及服裝設計師(含工業設計),製造業各業,11437,121909,52112,69797
2019,醫師,製造業各業,13,302926,144094,158832
2019,護理人員,製造業各業,685,84489,42180,42309
2019,獸醫師,製造業各業,87,69195,56084,13111
2019,藥事人員(含藥師),製造業各業,613,55137,45841,9296
2019,勞安及衛生管理人員(含工業安全管理師),製造業各業,5764,86433,54395,32038
2019,營養師,製造業各業,48,46101,42432,3669
2019,會(審)計師(含會計稽核),製造業各業,316,89659,64155,25504
2019,風險控管人員,製造業各業,69,78605,64720,13885
2019,財務、經濟及投資分析研究人員,製造業各業,441,102579,62825,39754
2019,專案管理師(含經營管理顧問),製造業各業,8745,97439,64955,32484
2019,稽核人員,製造業各業,585,87705,59676,28029
2019,人力資源管理師,製造業各業,4327,88311,53977,34334
2019,廣告及行銷專業人員(含企劃),製造業各業,10316,79521,51512,28009
2019,公關專業人員,製造業各業,250,80855,62955,17900
2019,資訊系統分析及設計師,製造業各業,5321,125250,61079,64171
2019,軟體開發及程式設計師,製造業各業,17545,102978,66714,36264
2019,資料庫及網路專業人員,製造業各業,3966,76089,56010,20079
2019,律師及相關專業人員,製造業各業,224,110681,72053,38628
2019,專利工程師及公證人,製造業各業,361,82614,61734,20880
2019,社工、心理專業人員(含諮商人員),製造業各業,… ,… ,… ,… 
2019,編輯、作家及有關撰稿人員,製造業各業,10,68110,45360,22750
2019,翻譯人員,製造業各業,115,43561,41605,1956
2019,技術員及助理專業人員,製造業各業,427206,69432,40678,28754
2019,營建工程技術員(含建築、土木、景觀、測量、水利),製造業各業,191,61258,47596,13662
2019,電機技術員,製造業各業,30815,58284,40440,17844
2019,電子技術員,製造業各業,60894,130563,38777,91786
2019,航空機械技術員,製造業各業,1186,53046,47269,5777
2019,冷凍空調技術員,製造業各業,409,64191,42265,21926
2019,機械技術員(含造船、輪機、鑄造),製造業各業,56035,57936,39920,18016
2019,食品技術員,製造業各業,6116,46865,38499,8366
2019,化工技術員,製造業各業,16677,57615,44521,13094
2019,品管技術員,製造業各業,58961,60043,37265,22778
2019,工管及生管技術員,製造業各業,32031,48041,39017,9024
2019,製圖員,製造業各業,16771,37823,34787,3036
2019,地質、採礦、鑽探、冶金技術員,製造業各業,… ,… ,… ,… 
2019,環境工程技術員,製造業各業,1412,66309,42672,23637
2019,紡織技術員,製造業各業,7078,43978,35100,8878
2019,發電設備操作員,製造業各業,240,85203,61712,23491
2019,焚化爐、水處理及氣(液)體設備操作員,製造業各業,1819,75992,48836,27156
2019,化學加工設備中央控制員,製造業各業,826,75104,54114,20990
2019,石油及天然氣精煉設備操作員,製造業各業,2846,70106,60378,9728
2019,金屬生產製程中央控制員,製造業各業,2234,89947,47258,42689
2019,生命科學技術員,製造業各業,947,40707,34727,5980
2019,農業技術及農業推廣人員,製造業各業,968,58717,54787,3930
2019,船舶監管人員(含引水人員),製造業各業,11,86170,85398,772
2019,航空駕駛員,製造業各業,… ,… ,… ,… 
2019,醫療設備控制技術員,製造業各業,… ,… ,… ,… 
2019,醫學及病理檢驗人員,製造業各業,85,60319,42919,17400
2019,傳統醫學技術員,製造業各業,… ,… ,… ,… 
2019,物理、職能(復健)治療技術員,製造業各業,… ,… ,… ,… 
2019,勞安及衛生技術員,製造業各業,7252,43803,37898,5905
2019,其他醫療保健助理專業人員,製造業各業,… ,… ,… ,… 
2019,會計人員,製造業各業,10412,87823,53483,34340
2019,統計及精算助理專業人員,製造業各業,20,56929,56929,— 
