年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,電力及燃氣供應業各業,5525,172881,96115,76766
2019,高階主管(總經理及總執行長),電力及燃氣供應業各業,254,208901,141424,67477
2019,中階主管(經理),電力及燃氣供應業各業,1322,188138,107410,80728
2019,監督人員(含現場及辦公室主任、科/股長),電力及燃氣供應業各業,3949,165456,89419,76037
2019,專業人員,電力及燃氣供應業各業,7333,118089,67463,50626
2019,工管及生管工程師,電力及燃氣供應業各業,652,129277,72499,56778
2019,土木及水利工程師,電力及燃氣供應業各業,401,101477,60119,41358
2019,環境工程師,電力及燃氣供應業各業,32,76018,65325,10693
2019,機械工程師(含造船、輪機、鑄造),電力及燃氣供應業各業,1297,118520,67140,51380
2019,化工工程師,電力及燃氣供應業各業,191,107018,65144,41874
2019,電機工程師,電力及燃氣供應業各業,3514,120476,67565,52911
2019,電子工程師,電力及燃氣供應業各業,456,115569,64599,50970
2019,測量師及製圖師,電力及燃氣供應業各業,… ,… ,… ,… 
2019,護理人員,電力及燃氣供應業各業,40,80121,44481,35640
2019,勞安及衛生管理人員(含工業安全管理師),電力及燃氣供應業各業,223,107990,66140,41850
2019,會(審)計師(含會計稽核),電力及燃氣供應業各業,19,64238,60320,3918
2019,專案管理師(含經營管理顧問),電力及燃氣供應業各業,34,90658,79018,11640
2019,稽核人員,電力及燃氣供應業各業,20,144478,91812,52666
2019,人力資源管理師,電力及燃氣供應業各業,19,77668,70208,7460
2019,廣告及行銷專業人員(含企劃),電力及燃氣供應業各業,155,144409,81486,62923
2019,公關專業人員,電力及燃氣供應業各業,96,112695,66096,46599
2019,資訊系統分析及設計師,電力及燃氣供應業各業,146,111521,69372,42149
2019,軟體開發及程式設計師,電力及燃氣供應業各業,25,71420,54503,16917
2019,資料庫及網路專業人員,電力及燃氣供應業各業,10,73436,62791,10645
2019,技術員及助理專業人員,電力及燃氣供應業各業,2672,78336,52178,26158
2019,營建工程技術員(含建築、土木、景觀、測量、水利),電力及燃氣供應業各業,173,57295,44184,13111
2019,電機技術員,電力及燃氣供應業各業,165,78017,52264,25753
2019,機械技術員(含造船、輪機、鑄造),電力及燃氣供應業各業,181,58796,52466,6330
2019,化工技術員,電力及燃氣供應業各業,10,45301,40440,4861
2019,工管及生管技術員,電力及燃氣供應業各業,99,44734,33726,11008
2019,製圖員,電力及燃氣供應業各業,66,58926,44011,14915
2019,環境工程技術員,電力及燃氣供應業各業,31,51834,47610,4224
2019,發電設備操作員,電力及燃氣供應業各業,692,120277,59293,60984
2019,焚化爐、水處理及氣(液)體設備操作員,電力及燃氣供應業各業,644,62850,50091,12759
2019,石油及天然氣精煉設備操作員,電力及燃氣供應業各業,204,77020,59529,17491
2019,勞安及衛生技術員,電力及燃氣供應業各業,58,52541,45528,7013
2019,會計人員,電力及燃氣供應業各業,49,67879,57298,10581
2019,工商業銷售代表(含業務員),電力及燃氣供應業各業,98,47532,39616,7916
