年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,用水供應及污染整治業各業,1661,84557,76846,7711
2019,高階主管(總經理及總執行長),用水供應及污染整治業各業,126,137342,126280,11062
2019,中階主管(經理),用水供應及污染整治業各業,295,98981,86306,12675
2019,監督人員(含現場及辦公室主任、科/股長),用水供應及污染整治業各業,1240,75762,69572,6190
2019,專業人員,用水供應及污染整治業各業,1362,82147,68677,13470
2019,品管工程師,用水供應及污染整治業各業,… ,… ,… ,… 
2019,工管及生管工程師,用水供應及污染整治業各業,20,78823,76592,2231
2019,土木及水利工程師,用水供應及污染整治業各業,333,87470,87456,14
2019,環境工程師,用水供應及污染整治業各業,407,91379,52397,38982
2019,機械工程師(含造船、輪機、鑄造),用水供應及污染整治業各業,57,62147,51792,10355
2019,化工工程師,用水供應及污染整治業各業,51,86684,86273,411
2019,電機工程師,用水供應及污染整治業各業,75,86613,81950,4663
2019,護理人員,用水供應及污染整治業各業,7,31549,31549,— 
2019,勞安及衛生管理人員(含工業安全管理師),用水供應及污染整治業各業,146,58482,51198,7284
2019,專案管理師(含經營管理顧問),用水供應及污染整治業各業,80,88831,88702,129
2019,稽核人員,用水供應及污染整治業各業,… ,… ,… ,… 
2019,人力資源管理師,用水供應及污染整治業各業,8,67145,63457,3688
2019,廣告及行銷專業人員(含企劃),用水供應及污染整治業各業,72,79872,79833,39
2019,公關專業人員,用水供應及污染整治業各業,10,71047,68505,2542
2019,資訊系統分析及設計師,用水供應及污染整治業各業,27,86862,86783,79
2019,軟體開發及程式設計師,用水供應及污染整治業各業,34,69832,60798,9034
2019,資料庫及網路專業人員,用水供應及污染整治業各業,10,63184,62143,1041
2019,技術員及助理專業人員,用水供應及污染整治業各業,4319,47243,42698,4545
2019,物理、化學及地球科學技術員,用水供應及污染整治業各業,… ,… ,… ,… 
2019,營建工程技術員(含建築、土木、景觀、測量、水利),用水供應及污染整治業各業,471,51616,49563,2053
2019,電機技術員,用水供應及污染整治業各業,234,56882,44471,12411
2019,機械技術員(含造船、輪機、鑄造),用水供應及污染整治業各業,237,59992,45205,14787
2019,化工技術員,用水供應及污染整治業各業,299,44830,41550,3280
