年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,營建工程業各業,37062,85473,73412,12061
2019,高階主管(總經理及總執行長),營建工程業各業,2340,214822,135991,78831
2019,中階主管(經理),營建工程業各業,7690,104751,89493,15258
2019,監督人員(含現場及辦公室主任、科/股長),營建工程業各業,27032,68792,63420,5372
2019,專業人員,營建工程業各業,25057,64397,57508,6889
2019,品管工程師,營建工程業各業,105,48277,46456,1821
2019,工管及生管工程師,營建工程業各業,… ,… ,… ,… 
2019,土木及水利工程師,營建工程業各業,4276,70641,65130,5511
2019,環境工程師,營建工程業各業,257,60091,54509,5582
2019,冷凍空調工程師,營建工程業各業,3235,55883,52225,3658
2019,機械工程師(含造船、輪機、鑄造),營建工程業各業,329,81566,58464,23102
2019,電機工程師,營建工程業各業,5370,67501,57478,10023
2019,電子工程師,營建工程業各業,… ,… ,… ,… 
2019,電信工程師,營建工程業各業,653,64236,46768,17468
2019,建築工程師(含建築師),營建工程業各業,2685,74044,67846,6198
2019,景觀設計師,營建工程業各業,649,53252,52894,358
2019,測量師及製圖師,營建工程業各業,766,58362,56875,1487
2019,室內設計師,營建工程業各業,3163,50566,48516,2050
2019,護理人員,營建工程業各業,8,54158,36618,17540
2019,勞安及衛生管理人員(含工業安全管理師),營建工程業各業,2528,64790,55344,9446
2019,會(審)計師(含會計稽核),營建工程業各業,48,55697,53504,2193
2019,財務、經濟及投資分析研究人員,營建工程業各業,… ,… ,… ,… 
2019,專案管理師(含經營管理顧問),營建工程業各業,328,65991,61383,4608
2019,稽核人員,營建工程業各業,… ,… ,… ,… 
2019,人力資源管理師,營建工程業各業,126,62830,61063,1767
2019,廣告及行銷專業人員(含企劃),營建工程業各業,86,59394,52773,6621
2019,公關專業人員,營建工程業各業,16,107504,66113,41391
2019,資訊系統分析及設計師,營建工程業各業,89,83481,67422,16059
2019,軟體開發及程式設計師,營建工程業各業,131,79331,59178,20153
2019,資料庫及網路專業人員,營建工程業各業,59,70415,62003,8412
2019,翻譯人員,營建工程業各業,… ,… ,… ,… 
2019,技術員及助理專業人員,營建工程業各業,58476,47274,44370,2904
2019,營建工程技術員(含建築、土木、景觀、測量、水利),營建工程業各業,26412,50264,47122,3142
2019,電機技術員,營建工程業各業,6321,45945,43247,2698
2019,冷凍空調技術員,營建工程業各業,4331,43679,41785,1894
2019,機械技術員(含造船、輪機、鑄造),營建工程業各業,978,44409,42522,1887
2019,製圖員,營建工程業各業,6466,42597,39934,2663
2019,環境工程技術員,營建工程業各業,1481,38085,35813,2272
2019,勞安及衛生技術員,營建工程業各業,4293,39635,36832,2803
2019,會計人員,營建工程業各業,1783,59841,56638,3203
2019,工商業銷售代表(含業務員),營建工程業各業,2843,48657,44303,4354
2019,採購員,營建工程業各業,2167,47598,44383,3215
2019,專業秘書,營建工程業各業,648,51308,49925,1383
2019,法務人員,營建工程業各業,12,52172,50781,1391
2019,資訊管理及維護技術員,營建工程業各業,741,40206,38667,1539
2019,事務支援人員,營建工程業各業,43393,34528,32871,1657
2019,總務,營建工程業各業,3967,36465,34817,1648
2019,一般辦公室事務人員(含文書),營建工程業各業,19094,33392,32053,1339
2019,資料輸入人員,營建工程業各業,641,29019,27764,1255
2019,收帳、收費人員(含帳款催收),營建工程業各業,… ,… ,… ,… 
2019,接待員及服務台事務人員,營建工程業各業,183,33935,33733,202
2019,總機人員,營建工程業各業,386,31314,29921,1393
2019,會計助理、簿記、出納,營建工程業各業,16358,34211,33169,1042
2019,存貨事務人員,營建工程業各業,898,34024,31453,2571
2019,生產及物料規劃事務人員,營建工程業各業,696,38998,37614,1384
2019,運輸事務人員(含稽查、調度、管理、航務),營建工程業各業,444,74368,40248,34120
2019,人事事務人員,營建工程業各業,717,39523,35413,4110
2019,服務及銷售工作人員,營建工程業各業,855,32344,31936,408
2019,廚師,營建工程業各業,101,31219,29409,1810
2019,建築物管理員、保全及警衛人員,營建工程業各業,754,32495,32275,220
2019,技藝、機械設備操作及組裝人員,營建工程業各業,248862,37626,35496,2130
2019,園藝及農牧業生產人員,營建工程業各業,3262,31132,31117,15
2019,砌磚及有關工作人員,營建工程業各業,3160,31671,31671,— 
2019,砌石、裁石及石雕人員,營建工程業各業,940,33564,33291,273
2019,鋼筋彎紮人員,營建工程業各業,10388,33910,33460,450
2019,模板人員,營建工程業各業,16299,36811,36063,748
2019,混凝土鋪設人員,營建工程業各業,8040,39253,36523,2730
2019,營建木作人員,營建工程業各業,12450,36291,35342,949
2019,其他營建構造人員(含鷹架工),營建工程業各業,25176,33920,32735,1185
2019,屋頂工作人員,營建工程業各業,3518,36400,35394,1006
2019,地面、牆面鋪設及磁磚鋪貼人員,營建工程業各業,10473,32091,31922,169
2019,泥作工作人員,營建工程業各業,14935,33771,33614,157
2019,絕緣材料安裝人員,營建工程業各業,… ,… ,… ,… 
2019,玻璃安裝人員,營建工程業各業,1005,37365,35051,2314
2019,管道裝設人員(含檢修),營建工程業各業,21523,33409,31815,1594
2019,空調及冷凍機械裝修人員,營建工程業各業,9850,33085,32417,668
2019,油漆、噴漆人員(含裱糊工),營建工程業各業,10616,31241,31234,7
2019,焊接及切割人員(含電焊工、氣焊工),營建工程業各業,7626,38043,36760,1283
2019,金屬結構預備及組合人員,營建工程業各業,10124,37151,36491,660
2019,工具製造人員(含模具工、鉗工),營建工程業各業,… ,… ,… ,… 
2019,車輛維修人員(含自行車、機車、汽車、火車),營建工程業各業,151,37393,34182,3211
2019,產業用機器維修人員,營建工程業各業,1868,40784,36165,4619
2019,建築物電力系統裝修人員(含水電工),營建工程業各業,18227,37724,35972,1752
2019,電力機械裝修人員,營建工程業各業,13357,44076,37870,6206
2019,電力線路裝修人員,營建工程業各業,13350,51802,38163,13639
2019,資(通)訊設備裝修人員(含電信、電話),營建工程業各業,4416,32899,32785,114
2019,電子設備裝修人員（不含資通訊設備）,營建工程業各業,1511,42292,32245,10047
2019,木材處理、家具木工及有關工作人員,營建工程業各業,261,25589,25589,— 
2019,化學產品機械操作員(不含藥品、化粧品及照相產品),營建工程業各業,… ,… ,… ,… 
2019,組裝(現場)人員,營建工程業各業,… ,… ,… ,… 
2019,小客、貨車駕駛人員,營建工程業各業,2043,45339,42657,2682
2019,大客、貨車駕駛人員,營建工程業各業,3513,46745,44856,1889
2019,推土、吊車、起重機等移運設備操作人員,營建工程業各業,20333,47594,45382,2212
2019,基層技術工及勞力工,營建工程業各業,59104,27999,27464,535
2019,清潔及家事工作人員(含建築清潔工),營建工程業各業,5991,26529,25959,570
2019,勞力工,營建工程業各業,53113,28164,27633,531
2019,主管及監督人員,建築工程業,5934,102038,90543,11495
2019,高階主管(總經理及總執行長),建築工程業,426,170923,148975,21948
2019,中階主管(經理),建築工程業,1419,111186,103601,7585
2019,監督人員(含現場及辦公室主任、科/股長),建築工程業,4089,91686,79923,11763
2019,專業人員,建築工程業,5284,77904,71176,6728
2019,品管工程師,建築工程業,… ,… ,… ,… 
2019,工管及生管工程師,建築工程業,— ,— ,— ,— 
2019,土木及水利工程師,建築工程業,1519,77186,72226,4960
2019,環境工程師,建築工程業,41,86495,60001,26494
2019,冷凍空調工程師,建築工程業,… ,… ,… ,… 
2019,機械工程師(含造船、輪機、鑄造),建築工程業,… ,… ,… ,… 
2019,電機工程師,建築工程業,503,81816,76304,5512
2019,電子工程師,建築工程業,— ,— ,— ,— 
2019,電信工程師,建築工程業,— ,— ,— ,— 
2019,建築工程師(含建築師),建築工程業,1971,79201,72062,7139
2019,景觀設計師,建築工程業,26,55014,47449,7565
2019,測量師及製圖師,建築工程業,216,66634,64893,1741
2019,室內設計師,建築工程業,… ,… ,… ,… 
2019,護理人員,建築工程業,— ,— ,— ,— 
2019,勞安及衛生管理人員(含工業安全管理師),建築工程業,703,81196,68934,12262
2019,會(審)計師(含會計稽核),建築工程業,… ,… ,… ,… 
2019,財務、經濟及投資分析研究人員,建築工程業,… ,… ,… ,… 
2019,專案管理師(含經營管理顧問),建築工程業,54,69429,66562,2867
2019,稽核人員,建築工程業,… ,… ,… ,… 
2019,人力資源管理師,建築工程業,55,77560,74851,2709
2019,廣告及行銷專業人員(含企劃),建築工程業,41,57751,56025,1726
2019,公關專業人員,建築工程業,… ,… ,… ,… 
2019,資訊系統分析及設計師,建築工程業,28,79747,77997,1750
2019,軟體開發及程式設計師,建築工程業,— ,— ,— ,— 
2019,資料庫及網路專業人員,建築工程業,10,80243,73828,6415
2019,翻譯人員,建築工程業,— ,— ,— ,— 
2019,技術員及助理專業人員,建築工程業,13709,57355,53355,4000
2019,營建工程技術員(含建築、土木、景觀、測量、水利),建築工程業,10337,59339,54278,5061
2019,電機技術員,建築工程業,309,57409,55646,1763
2019,冷凍空調技術員,建築工程業,… ,… ,… ,… 
2019,機械技術員(含造船、輪機、鑄造),建築工程業,… ,… ,… ,… 
2019,製圖員,建築工程業,862,49456,48804,652
2019,環境工程技術員,建築工程業,42,44466,41094,3372
2019,勞安及衛生技術員,建築工程業,950,44193,44074,119
2019,會計人員,建築工程業,342,68116,68116,— 
2019,工商業銷售代表(含業務員),建築工程業,244,47950,47015,935
2019,採購員,建築工程業,452,54694,53496,1198
2019,專業秘書,建築工程業,111,52140,50594,1546
2019,法務人員,建築工程業,… ,… ,… ,… 
2019,資訊管理及維護技術員,建築工程業,42,52562,49977,2585
2019,事務支援人員,建築工程業,6101,42216,39306,2910
2019,總務,建築工程業,653,39618,39167,451
2019,一般辦公室事務人員(含文書),建築工程業,2494,45167,39304,5863
2019,資料輸入人員,建築工程業,140,27543,25621,1922
2019,收帳、收費人員(含帳款催收),建築工程業,— ,— ,— ,— 
2019,接待員及服務台事務人員,建築工程業,7,35987,31314,4673
2019,總機人員,建築工程業,147,30796,30027,769
2019,會計助理、簿記、出納,建築工程業,2353,41057,40329,728
2019,存貨事務人員,建築工程業,10,47101,45783,1318
2019,生產及物料規劃事務人員,建築工程業,172,43525,42776,749
2019,運輸事務人員(含稽查、調度、管理、航務),建築工程業,35,52081,48099,3982
2019,人事事務人員,建築工程業,90,44687,39906,4781
2019,服務及銷售工作人員,建築工程業,535,33148,32545,603
2019,廚師,建築工程業,32,35926,30214,5712
2019,建築物管理員、保全及警衛人員,建築工程業,503,32972,32694,278
2019,技藝、機械設備操作及組裝人員,建築工程業,31371,36232,34676,1556
2019,園藝及農牧業生產人員,建築工程業,— ,— ,— ,— 
2019,砌磚及有關工作人員,建築工程業,1359,32153,32153,— 
2019,砌石、裁石及石雕人員,建築工程業,— ,— ,— ,— 
2019,鋼筋彎紮人員,建築工程業,2126,32400,31010,1390
2019,模板人員,建築工程業,2718,38106,34883,3223
2019,混凝土鋪設人員,建築工程業,1486,26618,26618,— 
2019,營建木作人員,建築工程業,2168,34119,29807,4312
2019,其他營建構造人員(含鷹架工),建築工程業,4260,34147,33003,1144
2019,屋頂工作人員,建築工程業,— ,— ,— ,— 
2019,地面、牆面鋪設及磁磚鋪貼人員,建築工程業,3661,27312,27312,— 
2019,泥作工作人員,建築工程業,5671,35923,35923,— 
2019,絕緣材料安裝人員,建築工程業,— ,— ,— ,— 
2019,玻璃安裝人員,建築工程業,— ,— ,— ,— 
2019,管道裝設人員(含檢修),建築工程業,— ,— ,— ,— 
2019,空調及冷凍機械裝修人員,建築工程業,… ,… ,… ,… 
2019,油漆、噴漆人員(含裱糊工),建築工程業,— ,— ,— ,— 
2019,焊接及切割人員(含電焊工、氣焊工),建築工程業,1427,35651,35633,18
2019,金屬結構預備及組合人員,建築工程業,2663,32150,31751,399
2019,工具製造人員(含模具工、鉗工),建築工程業,— ,— ,— ,— 
2019,車輛維修人員(含自行車、機車、汽車、火車),建築工程業,— ,— ,— ,— 
2019,產業用機器維修人員,建築工程業,— ,— ,— ,— 
2019,建築物電力系統裝修人員(含水電工),建築工程業,… ,… ,… ,… 
2019,電力機械裝修人員,建築工程業,— ,— ,— ,— 
2019,電力線路裝修人員,建築工程業,… ,… ,… ,… 
2019,資(通)訊設備裝修人員(含電信、電話),建築工程業,— ,— ,— ,— 
2019,電子設備裝修人員（不含資通訊設備）,建築工程業,— ,— ,— ,— 
2019,木材處理、家具木工及有關工作人員,建築工程業,— ,— ,— ,— 
2019,化學產品機械操作員(不含藥品、化粧品及照相產品),建築工程業,— ,— ,— ,— 
2019,組裝(現場)人員,建築工程業,— ,— ,— ,— 
2019,小客、貨車駕駛人員,建築工程業,773,50326,48031,2295
2019,大客、貨車駕駛人員,建築工程業,… ,… ,… ,… 
2019,推土、吊車、起重機等移運設備操作人員,建築工程業,1853,65010,57576,7434
2019,基層技術工及勞力工,建築工程業,16253,29793,29235,558
2019,清潔及家事工作人員(含建築清潔工),建築工程業,1812,27710,27687,23
2019,勞力工,建築工程業,14441,30054,29429,625
2019,主管及監督人員,土木工程業,3736,83759,73492,10267
2019,高階主管(總經理及總執行長),土木工程業,261,138185,126162,12023
2019,中階主管(經理),土木工程業,999,102871,90777,12094
2019,監督人員(含現場及辦公室主任、科/股長),土木工程業,2476,70309,60965,9344
2019,專業人員,土木工程業,3950,68427,58123,10304
2019,品管工程師,土木工程業,— ,— ,— ,— 
2019,工管及生管工程師,土木工程業,… ,… ,… ,… 
2019,土木及水利工程師,土木工程業,2060,65311,59002,6309
2019,環境工程師,土木工程業,130,56704,54992,1712
2019,冷凍空調工程師,土木工程業,21,60992,56271,4721
2019,機械工程師(含造船、輪機、鑄造),土木工程業,117,93379,60080,33299
2019,電機工程師,土木工程業,372,98310,69953,28357
2019,電子工程師,土木工程業,… ,… ,… ,… 
2019,電信工程師,土木工程業,— ,— ,— ,— 
2019,建築工程師(含建築師),土木工程業,236,58358,51669,6689
2019,景觀設計師,土木工程業,8,67527,63052,4475
2019,測量師及製圖師,土木工程業,143,49270,48340,930
2019,室內設計師,土木工程業,… ,… ,… ,… 
2019,護理人員,土木工程業,… ,… ,… ,… 
2019,勞安及衛生管理人員(含工業安全管理師),土木工程業,544,55952,51394,4558
2019,會(審)計師(含會計稽核),土木工程業,— ,— ,— ,— 
2019,財務、經濟及投資分析研究人員,土木工程業,— ,— ,— ,— 
2019,專案管理師(含經營管理顧問),土木工程業,75,58799,57532,1267
2019,稽核人員,土木工程業,— ,— ,— ,— 
2019,人力資源管理師,土木工程業,20,59246,55563,3683
2019,廣告及行銷專業人員(含企劃),土木工程業,12,101935,60963,40972
2019,公關專業人員,土木工程業,… ,… ,… ,… 
2019,資訊系統分析及設計師,土木工程業,44,75471,60837,14634
2019,軟體開發及程式設計師,土木工程業,… ,… ,… ,… 
2019,資料庫及網路專業人員,土木工程業,18,56720,55602,1118
2019,翻譯人員,土木工程業,— ,— ,— ,— 
2019,技術員及助理專業人員,土木工程業,7786,42656,40564,2092
2019,營建工程技術員(含建築、土木、景觀、測量、水利),土木工程業,4982,41699,39719,1980
2019,電機技術員,土木工程業,280,62228,58847,3381
2019,冷凍空調技術員,土木工程業,54,48546,44215,4331
2019,機械技術員(含造船、輪機、鑄造),土木工程業,154,55567,47103,8464
2019,製圖員,土木工程業,256,37797,37232,565
2019,環境工程技術員,土木工程業,531,40611,39662,949
2019,勞安及衛生技術員,土木工程業,653,35164,32947,2217
2019,會計人員,土木工程業,36,60512,60512,— 
2019,工商業銷售代表(含業務員),土木工程業,67,48180,44925,3255
2019,採購員,土木工程業,370,48757,46891,1866
2019,專業秘書,土木工程業,149,49417,48613,804
2019,法務人員,土木工程業,— ,— ,— ,— 
2019,資訊管理及維護技術員,土木工程業,254,42335,39140,3195
2019,事務支援人員,土木工程業,4849,35306,32656,2650
2019,總務,土木工程業,602,41950,37850,4100
2019,一般辦公室事務人員(含文書),土木工程業,2480,32198,30277,1921
2019,資料輸入人員,土木工程業,50,44105,33398,10707
2019,收帳、收費人員(含帳款催收),土木工程業,— ,— ,— ,— 
2019,接待員及服務台事務人員,土木工程業,6,35179,34466,713
2019,總機人員,土木工程業,9,33331,27444,5887
2019,會計助理、簿記、出納,土木工程業,1452,35353,33601,1752
2019,存貨事務人員,土木工程業,54,59081,42103,16978
2019,生產及物料規劃事務人員,土木工程業,28,45074,44312,762
2019,運輸事務人員(含稽查、調度、管理、航務),土木工程業,12,63156,48663,14493
2019,人事事務人員,土木工程業,156,43798,35023,8775
2019,服務及銷售工作人員,土木工程業,74,30155,29797,358
2019,廚師,土木工程業,… ,… ,… ,… 
2019,建築物管理員、保全及警衛人員,土木工程業,23,32909,31756,1153
2019,技藝、機械設備操作及組裝人員,土木工程業,41729,43148,35964,7184
2019,園藝及農牧業生產人員,土木工程業,— ,— ,— ,— 
2019,砌磚及有關工作人員,土木工程業,… ,… ,… ,… 
2019,砌石、裁石及石雕人員,土木工程業,— ,— ,— ,— 
2019,鋼筋彎紮人員,土木工程業,2736,28822,28193,629
2019,模板人員,土木工程業,4079,34287,33446,841
2019,混凝土鋪設人員,土木工程業,3676,47288,41316,5972
2019,營建木作人員,土木工程業,1167,30856,30856,— 
2019,其他營建構造人員(含鷹架工),土木工程業,4569,38133,34756,3377
2019,屋頂工作人員,土木工程業,500,34181,34181,— 
2019,地面、牆面鋪設及磁磚鋪貼人員,土木工程業,2447,32291,32056,235
2019,泥作工作人員,土木工程業,4126,28197,28039,158
2019,絕緣材料安裝人員,土木工程業,— ,— ,— ,— 
2019,玻璃安裝人員,土木工程業,— ,— ,— ,— 
2019,管道裝設人員(含檢修),土木工程業,6912,31701,30904,797
2019,空調及冷凍機械裝修人員,土木工程業,54,36180,32894,3286
2019,油漆、噴漆人員(含裱糊工),土木工程業,… ,… ,… ,… 
2019,焊接及切割人員(含電焊工、氣焊工),土木工程業,343,51480,34031,17449
