年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,批發及零售業各業,284622,86926,75559,11367
2019,高階主管(總經理及總執行長),批發及零售業各業,33660,157629,144669,12960
2019,中階主管(經理),批發及零售業各業,76172,104051,88785,15266
2019,監督人員(含現場及辦公室主任、科/股長),批發及零售業各業,174790,65848,56487,9361
2019,專業人員,批發及零售業各業,74614,61807,52616,9191
2019,數學、精算及統計專業人員,批發及零售業各業,19,54234,54114,120
2019,農、林、漁、牧業專業人員,批發及零售業各業,… ,… ,… ,… 
2019,品管工程師,批發及零售業各業,469,82080,74462,7618
2019,工管及生管工程師,批發及零售業各業,176,57139,53807,3332
2019,土木及水利工程師,批發及零售業各業,11,64509,64142,367
2019,環境工程師,批發及零售業各業,10,50391,49667,724
2019,機械工程師(含造船、輪機、鑄造),批發及零售業各業,6174,79772,55710,24062
2019,食品工程師,批發及零售業各業,… ,… ,… ,… 
2019,化工工程師,批發及零售業各業,2658,95247,48766,46481
2019,醫療器材、醫學工程師,批發及零售業各業,375,61810,56076,5734
2019,光學工程師,批發及零售業各業,662,42494,42494,— 
2019,電機工程師,批發及零售業各業,4291,54419,52320,2099
2019,電子工程師,批發及零售業各業,7283,69277,63054,6223
2019,電信工程師,批發及零售業各業,… ,… ,… ,… 
2019,室內設計師,批發及零售業各業,95,48662,35967,12695
2019,平面及多媒體設計師,批發及零售業各業,4744,41853,39351,2502
2019,產品及服裝設計師(含工業設計),批發及零售業各業,2963,48339,45453,2886
2019,護理人員,批發及零售業各業,54,49224,40046,9178
2019,獸醫師,批發及零售業各業,… ,… ,… ,… 
2019,藥事人員(含藥師),批發及零售業各業,6998,51479,42868,8611
2019,勞安及衛生管理人員(含工業安全管理師),批發及零售業各業,264,68283,62730,5553
2019,營養師,批發及零售業各業,… ,… ,… ,… 
2019,會(審)計師(含會計稽核),批發及零售業各業,24,80798,75461,5337
2019,財務、經濟及投資分析研究人員,批發及零售業各業,610,64853,64669,184
2019,專案管理師(含經營管理顧問),批發及零售業各業,5672,72865,69711,3154
2019,稽核人員,批發及零售業各業,172,59691,57464,2227
2019,人力資源管理師,批發及零售業各業,1352,63694,55494,8200
2019,廣告及行銷專業人員(含企劃),批發及零售業各業,18837,56860,46943,9917
2019,公關專業人員,批發及零售業各業,58,149904,61954,87950
2019,資訊系統分析及設計師,批發及零售業各業,2095,76336,67992,8344
2019,軟體開發及程式設計師,批發及零售業各業,4167,59661,56438,3223
2019,資料庫及網路專業人員,批發及零售業各業,3788,60055,55978,4077
2019,律師及相關專業人員,批發及零售業各業,19,102495,95900,6595
2019,專利工程師及公證人,批發及零售業各業,… ,… ,… ,… 
2019,翻譯人員,批發及零售業各業,86,47930,35806,12124
2019,表演藝術人員(含演員、配音員),批發及零售業各業,… ,… ,… ,… 
