年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,運輸及倉儲業各業,32412,76820,70930,5890
2019,高階主管(總經理及總執行長),運輸及倉儲業各業,1478,162647,156941,5706
2019,中階主管(經理),運輸及倉儲業各業,7899,97037,89829,7208
2019,監督人員(含現場及辦公室主任、科/股長),運輸及倉儲業各業,23035,64380,58930,5450
2019,專業人員,運輸及倉儲業各業,7779,72404,65525,6879
2019,品管工程師,運輸及倉儲業各業,54,67101,64444,2657
2019,土木及水利工程師,運輸及倉儲業各業,292,90733,64062,26671
2019,環境工程師,運輸及倉儲業各業,… ,… ,… ,… 
2019,航空機械工程師,運輸及倉儲業各業,83,117499,113007,4492
2019,機械工程師(含造船、輪機、鑄造),運輸及倉儲業各業,891,98091,90172,7919
2019,化工工程師,運輸及倉儲業各業,… ,… ,… ,… 
2019,電機工程師,運輸及倉儲業各業,640,71593,63967,7626
2019,電子工程師,運輸及倉儲業各業,67,66938,62832,4106
2019,電信工程師,運輸及倉儲業各業,… ,… ,… ,… 
2019,建築工程師(含建築師),運輸及倉儲業各業,… ,… ,… ,… 
2019,護理人員,運輸及倉儲業各業,132,50675,47459,3216
2019,勞安及衛生管理人員(含工業安全管理師),運輸及倉儲業各業,299,77276,66342,10934
2019,會(審)計師(含會計稽核),運輸及倉儲業各業,34,101270,79810,21460
2019,財務、經濟及投資分析研究人員,運輸及倉儲業各業,29,95177,60919,34258
2019,專案管理師(含經營管理顧問),運輸及倉儲業各業,398,71574,63370,8204
2019,稽核人員,運輸及倉儲業各業,267,70396,61654,8742
2019,人力資源管理師,運輸及倉儲業各業,514,66383,59925,6458
2019,廣告及行銷專業人員(含企劃),運輸及倉儲業各業,1283,64002,58816,5186
2019,公關專業人員,運輸及倉儲業各業,128,70038,60780,9258
2019,資訊系統分析及設計師,運輸及倉儲業各業,1003,74318,68560,5758
2019,軟體開發及程式設計師,運輸及倉儲業各業,814,54796,52924,1872
2019,資料庫及網路專業人員,運輸及倉儲業各業,790,66750,63408,3342
2019,律師及相關專業人員,運輸及倉儲業各業,33,96081,83737,12344
2019,技術員及助理專業人員,運輸及倉儲業各業,22212,81860,72748,9112
2019,營建工程技術員(含建築、土木、景觀、測量、水利),運輸及倉儲業各業,741,66507,54538,11969
2019,電機技術員,運輸及倉儲業各業,1143,53279,48467,4812
2019,電子技術員,運輸及倉儲業各業,172,51153,46031,5122
2019,航空機械技術員,運輸及倉儲業各業,432,67014,59783,7231
