年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,住宿及餐飲業各業,69224,54171,52087,2084
2019,高階主管(總經理及總執行長),住宿及餐飲業各業,2117,136231,134198,2033
2019,中階主管(經理),住宿及餐飲業各業,8368,77546,75275,2271
2019,監督人員(含現場及辦公室主任、科/股長),住宿及餐飲業各業,58739,47883,45824,2059
2019,專業人員,住宿及餐飲業各業,3734,51658,50932,726
2019,機械工程師(含造船、輪機、鑄造),住宿及餐飲業各業,… ,… ,… ,… 
2019,食品工程師,住宿及餐飲業各業,765,65761,64325,1436
2019,電機工程師,住宿及餐飲業各業,96,58078,57873,205
2019,平面及多媒體設計師,住宿及餐飲業各業,168,42569,42569,— 
2019,護理人員,住宿及餐飲業各業,100,40253,40253,— 
2019,勞安及衛生管理人員(含工業安全管理師),住宿及餐飲業各業,36,55667,55079,588
2019,營養師,住宿及餐飲業各業,253,41660,41430,230
2019,專案管理師(含經營管理顧問),住宿及餐飲業各業,26,56544,56544,— 
2019,稽核人員,住宿及餐飲業各業,124,54296,53591,705
2019,人力資源管理師,住宿及餐飲業各業,485,58876,58082,794
2019,廣告及行銷專業人員(含企劃),住宿及餐飲業各業,924,39813,39412,401
2019,公關專業人員,住宿及餐飲業各業,315,42335,42201,134
2019,資訊系統分析及設計師,住宿及餐飲業各業,204,63234,61158,2076
2019,軟體開發及程式設計師,住宿及餐飲業各業,167,62133,61203,930
2019,資料庫及網路專業人員,住宿及餐飲業各業,25,47445,47445,— 
2019,表演藝術人員(含演員、配音員),住宿及餐飲業各業,… ,… ,… ,… 
2019,技術員及助理專業人員,住宿及餐飲業各業,17183,45732,45545,187
2019,電機技術員,住宿及餐飲業各業,453,43530,43442,88
2019,電子技術員,住宿及餐飲業各業,… ,… ,… ,… 
2019,冷凍空調技術員,住宿及餐飲業各業,… ,… ,… ,… 
2019,機械技術員(含造船、輪機、鑄造),住宿及餐飲業各業,41,53569,52585,984
2019,食品技術員,住宿及餐飲業各業,11184,48420,48408,12
2019,勞安及衛生技術員,住宿及餐飲業各業,323,40073,39911,162
2019,會計人員,住宿及餐飲業各業,522,50442,50210,232
2019,工商業銷售代表(含業務員),住宿及餐飲業各業,2068,39458,38746,712
2019,採購員,住宿及餐飲業各業,998,38956,38601,355
2019,會議及活動規劃人員,住宿及餐飲業各業,448,37278,37251,27
2019,專業秘書,住宿及餐飲業各業,322,45008,44800,208
2019,運動、健身及休閒娛樂指導員,住宿及餐飲業各業,449,33633,31813,1820
2019,節目助理及舞台相關工作人員,住宿及餐飲業各業,… ,… ,… ,… 
2019,資訊管理及維護技術員,住宿及餐飲業各業,306,44718,44611,107
2019,廣播及視聽技術員(含放映員),住宿及餐飲業各業,47,36794,35394,1400
2019,事務支援人員,住宿及餐飲業各業,26884,31373,30532,841
2019,總務,住宿及餐飲業各業,1423,34893,34775,118
2019,一般辦公室事務人員(含文書),住宿及餐飲業各業,3887,30171,29850,321
2019,資料輸入人員,住宿及餐飲業各業,42,31231,31231,— 
2019,接待員及服務台事務人員,住宿及餐飲業各業,13275,29526,28980,546
2019,總機人員,住宿及餐飲業各業,576,30093,29815,278
2019,電話及網路客服人員,住宿及餐飲業各業,513,32221,31184,1037
2019,會計助理、簿記、出納,住宿及餐飲業各業,4923,34852,32595,2257
2019,存貨事務人員,住宿及餐飲業各業,1008,33838,32628,1210
2019,生產及物料規劃事務人員,住宿及餐飲業各業,77,38857,38827,30
2019,運輸事務人員(含稽查、調度、管理、航務),住宿及餐飲業各業,201,39061,35930,3131
2019,人事事務人員,住宿及餐飲業各業,959,34240,33934,306
2019,服務及銷售工作人員,住宿及餐飲業各業,317228,28429,27547,882
2019,隨車、船、飛機服務人員(含空服員),住宿及餐飲業各業,128,40832,35584,5248
2019,廚師,住宿及餐飲業各業,62431,43288,42392,896
2019,飲料調配及調酒員,住宿及餐飲業各業,28821,27867,27563,304
2019,餐飲服務人員,住宿及餐飲業各業,173967,23771,22830,941
2019,旅館管家,住宿及餐飲業各業,3459,34556,34108,448
2019,按摩師,住宿及餐飲業各業,358,32252,31038,1214
2019,商店銷售人員(含百貨公司樓管人員),住宿及餐飲業各業,2466,39601,34223,5378
2019,收銀員及售票員,住宿及餐飲業各業,3680,30034,29006,1028
2019,餐食服務櫃台工作人員,住宿及餐飲業各業,40521,24436,23671,765
2019,建築物管理員、保全及警衛人員,住宿及餐飲業各業,1073,31476,31010,466
2019,救生員,住宿及餐飲業各業,324,28014,27911,103
2019,技藝、機械設備操作及組裝人員,住宿及餐飲業各業,10326,36390,35147,1243
2019,園藝及農牧業生產人員,住宿及餐飲業各業,27,34549,33981,568
2019,營建木作人員,住宿及餐飲業各業,61,43091,43091,— 
2019,空調及冷凍機械裝修人員,住宿及餐飲業各業,338,42678,42523,155
2019,油漆、噴漆人員(含裱糊工),住宿及餐飲業各業,69,44001,43977,24
2019,美編及印刷前置工作人員,住宿及餐飲業各業,57,38922,38907,15
2019,建築物電力系統裝修人員(含水電工),住宿及餐飲業各業,1180,38181,37364,817
2019,電力機械裝修人員,住宿及餐飲業各業,301,33522,33507,15
2019,資(通)訊設備裝修人員(含電信、電話),住宿及餐飲業各業,28,39585,39585,— 
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),住宿及餐飲業各業,5191,36524,34945,1579
2019,木材處理、家具木工及有關工作人員,住宿及餐飲業各業,29,38960,38960,— 
2019,縫製機械操作人員(含裁縫、刺繡),住宿及餐飲業各業,28,31064,31064,— 
2019,洗滌工、熨燙工,住宿及餐飲業各業,1451,26235,26094,141
2019,小客、貨車駕駛人員,住宿及餐飲業各業,975,40410,39231,1179
2019,大客、貨車駕駛人員,住宿及餐飲業各業,591,46039,42234,3805
2019,基層技術工及勞力工,住宿及餐飲業各業,62126,24646,23797,849
2019,清潔及家事工作人員(含建築清潔工),住宿及餐飲業各業,17501,26118,25648,470
2019,勞力工,住宿及餐飲業各業,2922,25599,24573,1026
2019,廚房幫工(含速食烹調),住宿及餐飲業各業,41260,23943,22941,1002
2019,遊樂場所服務員,住宿及餐飲業各業,80,24592,24500,92
2019,行李搬運工,住宿及餐飲業各業,315,25838,25314,524
2019,收票員、引座員,住宿及餐飲業各業,… ,… ,… ,… 
2019,停車場管理工,住宿及餐飲業各業,41,27136,27136,— 
2019,主管及監督人員,住宿業,13179,58048,57154,894
2019,高階主管(總經理及總執行長),住宿業,770,129300,127506,1794
2019,中階主管(經理),住宿業,2968,69035,67739,1296
2019,監督人員(含現場及辦公室主任、科/股長),住宿業,9441,48784,48089,695
2019,專業人員,住宿業,1045,46470,46318,152
2019,機械工程師(含造船、輪機、鑄造),住宿業,— ,— ,— ,— 
2019,食品工程師,住宿業,— ,— ,— ,— 
2019,電機工程師,住宿業,96,58078,57873,205
2019,平面及多媒體設計師,住宿業,113,44564,44564,— 
2019,護理人員,住宿業,46,35537,35537,— 
2019,勞安及衛生管理人員(含工業安全管理師),住宿業,17,53844,53844,— 
2019,營養師,住宿業,80,44424,44424,— 
2019,專案管理師(含經營管理顧問),住宿業,… ,… ,… ,… 
2019,稽核人員,住宿業,35,49455,49455,— 
2019,人力資源管理師,住宿業,62,54795,54795,— 
2019,廣告及行銷專業人員(含企劃),住宿業,273,41029,40520,509
2019,公關專業人員,住宿業,209,43584,43584,— 
2019,資訊系統分析及設計師,住宿業,48,59209,59209,— 
2019,軟體開發及程式設計師,住宿業,… ,… ,… ,… 
2019,資料庫及網路專業人員,住宿業,25,47445,47445,— 
2019,表演藝術人員(含演員、配音員),住宿業,— ,— ,— ,— 
2019,技術員及助理專業人員,住宿業,3942,39645,39090,555
2019,電機技術員,住宿業,427,43036,42943,93
2019,電子技術員,住宿業,… ,… ,… ,… 
2019,冷凍空調技術員,住宿業,… ,… ,… ,… 
2019,機械技術員(含造船、輪機、鑄造),住宿業,— ,— ,— ,— 
2019,食品技術員,住宿業,— ,— ,— ,— 
2019,勞安及衛生技術員,住宿業,126,40699,40382,317
2019,會計人員,住宿業,282,52915,52915,— 
2019,工商業銷售代表(含業務員),住宿業,1361,37245,36385,860
2019,採購員,住宿業,468,39852,39799,53
2019,會議及活動規劃人員,住宿業,376,37249,37249,— 
2019,專業秘書,住宿業,220,42855,42618,237
2019,運動、健身及休閒娛樂指導員,住宿業,449,33633,31813,1820
2019,節目助理及舞台相關工作人員,住宿業,— ,— ,— ,— 
2019,資訊管理及維護技術員,住宿業,201,43033,42872,161
2019,廣播及視聽技術員(含放映員),住宿業,16,40554,39863,691
2019,事務支援人員,住宿業,17856,30561,30037,524
2019,總務,住宿業,449,33881,33881,— 
2019,一般辦公室事務人員(含文書),住宿業,1666,29880,29710,170
2019,資料輸入人員,住宿業,15,26664,26664,— 
2019,接待員及服務台事務人員,住宿業,12178,29896,29308,588
2019,總機人員,住宿業,440,30816,30547,269
2019,電話及網路客服人員,住宿業,452,32425,31248,1177
2019,會計助理、簿記、出納,住宿業,2087,32737,32234,503
2019,存貨事務人員,住宿業,168,35240,34751,489
2019,生產及物料規劃事務人員,住宿業,— ,— ,— ,— 
2019,運輸事務人員(含稽查、調度、管理、航務),住宿業,22,36542,36542,— 
2019,人事事務人員,住宿業,379,34207,33872,335
2019,服務及銷售工作人員,住宿業,33510,30695,30120,575
2019,隨車、船、飛機服務人員(含空服員),住宿業,— ,— ,— ,— 
2019,廚師,住宿業,8520,43862,43203,659
2019,飲料調配及調酒員,住宿業,444,32103,31717,386
2019,餐飲服務人員,住宿業,16319,23936,23323,613
2019,旅館管家,住宿業,3459,34556,34108,448
2019,按摩師,住宿業,321,33220,31866,1354
2019,商店銷售人員(含百貨公司樓管人員),住宿業,449,28296,28290,6
2019,收銀員及售票員,住宿業,252,31107,30494,613
2019,餐食服務櫃台工作人員,住宿業,2437,24323,23967,356
2019,建築物管理員、保全及警衛人員,住宿業,985,31400,30975,425
2019,救生員,住宿業,324,28014,27911,103
2019,技藝、機械設備操作及組裝人員,住宿業,3903,33336,32996,340
2019,園藝及農牧業生產人員,住宿業,27,34549,33981,568
2019,營建木作人員,住宿業,61,43091,43091,— 
2019,空調及冷凍機械裝修人員,住宿業,338,42678,42523,155
2019,油漆、噴漆人員(含裱糊工),住宿業,69,44001,43977,24
2019,美編及印刷前置工作人員,住宿業,51,39763,39746,17
2019,建築物電力系統裝修人員(含水電工),住宿業,1085,37881,37380,501
2019,電力機械裝修人員,住宿業,301,33522,33507,15
2019,資(通)訊設備裝修人員(含電信、電話),住宿業,28,39585,39585,— 
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),住宿業,— ,— ,— ,— 
2019,木材處理、家具木工及有關工作人員,住宿業,29,38960,38960,— 
2019,縫製機械操作人員(含裁縫、刺繡),住宿業,28,31064,31064,— 
2019,洗滌工、熨燙工,住宿業,1451,26235,26094,141
2019,小客、貨車駕駛人員,住宿業,328,33697,32299,1398
2019,大客、貨車駕駛人員,住宿業,107,34002,33587,415
2019,基層技術工及勞力工,住宿業,18449,25979,25529,450
2019,清潔及家事工作人員(含建築清潔工),住宿業,15144,26097,25622,475
2019,勞力工,住宿業,853,25896,25876,20
2019,廚房幫工(含速食烹調),住宿業,2029,25191,24739,452
2019,遊樂場所服務員,住宿業,80,24592,24500,92
2019,行李搬運工,住宿業,315,25838,25314,524
2019,收票員、引座員,住宿業,… ,… ,… ,… 
2019,停車場管理工,住宿業,21,27920,27920,— 
2019,主管及監督人員,餐館,49689,50422,48014,2408
2019,高階主管(總經理及總執行長),餐館,1000,134338,131533,2805
2019,中階主管(經理),餐館,4297,75662,72483,3179
2019,監督人員(含現場及辦公室主任、科/股長),餐館,44392,46088,43764,2324
2019,專業人員,餐館,1182,43191,42489,702
2019,機械工程師(含造船、輪機、鑄造),餐館,— ,— ,— ,— 
2019,食品工程師,餐館,… ,… ,… ,… 
2019,電機工程師,餐館,— ,— ,— ,— 
2019,平面及多媒體設計師,餐館,55,38470,38470,— 
2019,護理人員,餐館,— ,— ,— ,— 
2019,勞安及衛生管理人員(含工業安全管理師),餐館,6,54721,51898,2823
2019,營養師,餐館,… ,… ,… ,… 
2019,專案管理師(含經營管理顧問),餐館,… ,… ,… ,… 
2019,稽核人員,餐館,… ,… ,… ,… 
2019,人力資源管理師,餐館,276,54105,52724,1381
2019,廣告及行銷專業人員(含企劃),餐館,585,37517,37121,396
2019,公關專業人員,餐館,97,37864,37427,437
2019,資訊系統分析及設計師,餐館,71,58146,56153,1993
2019,軟體開發及程式設計師,餐館,— ,— ,— ,— 
2019,資料庫及網路專業人員,餐館,— ,— ,— ,— 
2019,表演藝術人員(含演員、配音員),餐館,… ,… ,… ,… 
2019,技術員及助理專業人員,餐館,1284,40641,40253,388
2019,電機技術員,餐館,— ,— ,— ,— 
2019,電子技術員,餐館,— ,— ,— ,— 
2019,冷凍空調技術員,餐館,— ,— ,— ,— 
2019,機械技術員(含造船、輪機、鑄造),餐館,— ,— ,— ,— 
2019,食品技術員,餐館,86,43868,42259,1609
2019,勞安及衛生技術員,餐館,46,37185,37185,— 
2019,會計人員,餐館,199,45788,45653,135
2019,工商業銷售代表(含業務員),餐館,429,41720,41099,621
2019,採購員,餐館,257,32977,32977,— 
2019,會議及活動規劃人員,餐館,72,37431,37261,170
2019,專業秘書,餐館,91,46540,46540,— 
2019,運動、健身及休閒娛樂指導員,餐館,— ,— ,— ,— 
2019,節目助理及舞台相關工作人員,餐館,… ,… ,… ,… 
2019,資訊管理及維護技術員,餐館,67,44359,44359,— 
2019,廣播及視聽技術員(含放映員),餐館,31,34854,33088,1766
2019,事務支援人員,餐館,8446,32507,30982,1525
2019,總務,餐館,946,35109,34944,165
2019,一般辦公室事務人員(含文書),餐館,2055,29761,29389,372
2019,資料輸入人員,餐館,… ,… ,… ,… 
2019,接待員及服務台事務人員,餐館,1070,25109,25028,81
2019,總機人員,餐館,128,27126,26799,327
2019,電話及網路客服人員,餐館,58,29699,29699,— 
2019,會計助理、簿記、出納,餐館,2613,36266,32442,3824
2019,存貨事務人員,餐館,801,33103,31763,1340
2019,生產及物料規劃事務人員,餐館,64,36827,36827,— 
2019,運輸事務人員(含稽查、調度、管理、航務),餐館,160,37934,34151,3783
2019,人事事務人員,餐館,531,33347,33053,294
2019,服務及銷售工作人員,餐館,237689,27489,26506,983
2019,隨車、船、飛機服務人員(含空服員),餐館,128,40832,35584,5248
2019,廚師,餐館,48575,41735,40814,921
2019,飲料調配及調酒員,餐館,3412,26496,26486,10
2019,餐飲服務人員,餐館,146069,23389,22417,972
2019,旅館管家,餐館,— ,— ,— ,— 
2019,按摩師,餐館,37,23853,23853,— 
2019,商店銷售人員(含百貨公司樓管人員),餐館,1949,42434,35640,6794
2019,收銀員及售票員,餐館,3252,29476,28360,1116
2019,餐食服務櫃台工作人員,餐館,34179,23763,22904,859
2019,建築物管理員、保全及警衛人員,餐館,88,32322,31403,919
2019,救生員,餐館,— ,— ,— ,— 
2019,技藝、機械設備操作及組裝人員,餐館,3246,34382,32494,1888
2019,園藝及農牧業生產人員,餐館,— ,— ,— ,— 
2019,營建木作人員,餐館,— ,— ,— ,— 
2019,空調及冷凍機械裝修人員,餐館,— ,— ,— ,— 
2019,油漆、噴漆人員(含裱糊工),餐館,— ,— ,— ,— 
2019,美編及印刷前置工作人員,餐館,6,31777,31777,— 
2019,建築物電力系統裝修人員(含水電工),餐館,… ,… ,… ,… 
2019,電力機械裝修人員,餐館,— ,— ,— ,— 
2019,資(通)訊設備裝修人員(含電信、電話),餐館,— ,— ,— ,— 
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),餐館,3097,34150,32319,1831
2019,木材處理、家具木工及有關工作人員,餐館,— ,— ,— ,— 
2019,縫製機械操作人員(含裁縫、刺繡),餐館,— ,— ,— ,— 
2019,洗滌工、熨燙工,餐館,— ,— ,— ,— 
2019,小客、貨車駕駛人員,餐館,56,37051,36438,613
2019,大客、貨車駕駛人員,餐館,… ,… ,… ,… 
2019,基層技術工及勞力工,餐館,37572,23285,22265,1020
2019,清潔及家事工作人員(含建築清潔工),餐館,2052,25576,25448,128
2019,勞力工,餐館,1326,25326,23949,1377
2019,廚房幫工(含速食烹調),餐館,34174,23066,22006,1060
2019,遊樂場所服務員,餐館,— ,— ,— ,— 
2019,行李搬運工,餐館,— ,— ,— ,— 
2019,收票員、引座員,餐館,— ,— ,— ,— 
2019,停車場管理工,餐館,… ,… ,… ,… 
2019,主管及監督人員,其他餐飲業,6356,75437,73418,2019
2019,高階主管(總經理及總執行長),其他餐飲業,347,157068,156730,338
2019,中階主管(經理),其他餐飲業,1103,107783,106428,1355
2019,監督人員(含現場及辦公室主任、科/股長),其他餐飲業,4906,62390,60104,2286
2019,專業人員,其他餐飲業,1507,61896,60753,1143
2019,機械工程師(含造船、輪機、鑄造),其他餐飲業,… ,… ,… ,… 
2019,食品工程師,其他餐飲業,763,65780,64360,1420
2019,電機工程師,其他餐飲業,— ,— ,— ,— 
2019,平面及多媒體設計師,其他餐飲業,— ,— ,— ,— 
2019,護理人員,其他餐飲業,54,44270,44270,— 
2019,勞安及衛生管理人員(含工業安全管理師),其他餐飲業,13,58487,58161,326
2019,營養師,其他餐飲業,168,40325,39987,338
2019,專案管理師(含經營管理顧問),其他餐飲業,— ,— ,— ,— 
2019,稽核人員,其他餐飲業,50,64360,62611,1749
2019,人力資源管理師,其他餐飲業,147,69552,69526,26
2019,廣告及行銷專業人員(含企劃),其他餐飲業,66,55137,55137,— 
2019,公關專業人員,其他餐飲業,… ,… ,… ,… 
2019,資訊系統分析及設計師,其他餐飲業,… ,… ,… ,… 
2019,軟體開發及程式設計師,其他餐飲業,133,63745,62577,1168
2019,資料庫及網路專業人員,其他餐飲業,— ,— ,— ,— 
