年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,出版、影音製作、傳播及資通訊服務業各業,34496,102902,90787,12115
2019,高階主管(總經理及總執行長),出版、影音製作、傳播及資通訊服務業各業,2580,229971,189616,40355
2019,中階主管(經理),出版、影音製作、傳播及資通訊服務業各業,11427,118413,107680,10733
2019,監督人員(含現場及辦公室主任、科/股長),出版、影音製作、傳播及資通訊服務業各業,20489,78252,68922,9330
2019,專業人員,出版、影音製作、傳播及資通訊服務業各業,86076,74145,63613,10532
2019,數學、精算及統計專業人員,出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,品管工程師,出版、影音製作、傳播及資通訊服務業各業,13,45634,45416,218
2019,機械工程師(含造船、輪機、鑄造),出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,醫療器材、醫學工程師,出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,光學工程師,出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,電機工程師,出版、影音製作、傳播及資通訊服務業各業,777,76936,73978,2958
2019,電子工程師,出版、影音製作、傳播及資通訊服務業各業,379,77511,71831,5680
2019,電信工程師,出版、影音製作、傳播及資通訊服務業各業,4652,107416,73421,33995
2019,平面及多媒體設計師,出版、影音製作、傳播及資通訊服務業各業,7078,48144,42485,5659
2019,護理人員,出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,勞安及衛生管理人員(含工業安全管理師),出版、影音製作、傳播及資通訊服務業各業,200,105394,66157,39237
2019,補教業教師,出版、影音製作、傳播及資通訊服務業各業,… ,… ,… ,… 
2019,會(審)計師(含會計稽核),出版、影音製作、傳播及資通訊服務業各業,87,122845,121373,1472
2019,財務、經濟及投資分析研究人員,出版、影音製作、傳播及資通訊服務業各業,88,112528,57385,55143
2019,專案管理師(含經營管理顧問),出版、影音製作、傳播及資通訊服務業各業,3927,80572,66876,13696
2019,稽核人員,出版、影音製作、傳播及資通訊服務業各業,66,108443,76946,31497
2019,人力資源管理師,出版、影音製作、傳播及資通訊服務業各業,729,92018,74250,17768
2019,廣告及行銷專業人員(含企劃),出版、影音製作、傳播及資通訊服務業各業,9682,71202,56777,14425
2019,公關專業人員,出版、影音製作、傳播及資通訊服務業各業,470,70705,58085,12620
2019,資訊系統分析及設計師,出版、影音製作、傳播及資通訊服務業各業,11978,80692,70341,10351
2019,軟體開發及程式設計師,出版、影音製作、傳播及資通訊服務業各業,29081,77792,69202,8590
2019,資料庫及網路專業人員,出版、影音製作、傳播及資通訊服務業各業,5637,84248,67394,16854
2019,律師及相關專業人員,出版、影音製作、傳播及資通訊服務業各業,15,238026,237474,552
