年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,金融及保險業各業,48987,141728,113683,28045
2019,高階主管(總經理及總執行長),金融及保險業各業,2043,359048,296854,62194
2019,中階主管(經理),金融及保險業各業,11906,188840,142475,46365
2019,監督人員(含現場及辦公室主任、科/股長),金融及保險業各業,35038,113048,93219,19829
2019,專業人員,金融及保險業各業,44429,81695,68170,13525
2019,精算師(取得正式資格者),金融及保險業各業,35,190526,176984,13542
2019,數學、精算及統計專業人員,金融及保險業各業,947,86776,82476,4300
2019,建築工程師(含建築師),金融及保險業各業,… ,… ,… ,… 
2019,醫師,金融及保險業各業,16,183080,159307,23773
2019,護理人員,金融及保險業各業,61,42910,40400,2510
2019,勞安及衛生管理人員(含工業安全管理師),金融及保險業各業,55,66690,54709,11981
2019,營養師,金融及保險業各業,… ,… ,… ,… 
2019,會(審)計師(含會計稽核),金融及保險業各業,693,88662,83834,4828
2019,風險控管人員,金融及保險業各業,4585,70752,64839,5913
2019,財務、經濟及投資分析研究人員,金融及保險業各業,5641,116557,80704,35853
2019,專案管理師(含經營管理顧問),金融及保險業各業,1274,77889,75327,2562
2019,稽核人員,金融及保險業各業,6123,82537,70051,12486
2019,人力資源管理師,金融及保險業各業,2494,73604,66406,7198
2019,廣告及行銷專業人員(含企劃),金融及保險業各業,4517,69983,61494,8489
2019,公關專業人員,金融及保險業各業,299,73902,67979,5923
2019,資訊系統分析及設計師,金融及保險業各業,5483,76797,68737,8060
2019,軟體開發及程式設計師,金融及保險業各業,8081,79613,60936,18677
2019,資料庫及網路專業人員,金融及保險業各業,3800,68321,60668,7653
2019,律師及相關專業人員,金融及保險業各業,282,123353,122623,730
2019,翻譯人員,金融及保險業各業,15,63981,62433,1548
2019,技術員及助理專業人員,金融及保險業各業,174332,66943,57592,9351
2019,營建工程技術員(含建築、土木、景觀、測量、水利),金融及保險業各業,… ,… ,… ,… 
2019,證券金融交易員及經紀人,金融及保險業各業,42583,80981,66007,14974
2019,信用及貸款人員,金融及保險業各業,17648,62233,54101,8132
2019,會計人員,金融及保險業各業,3992,60156,56398,3758
2019,統計及精算助理專業人員,金融及保險業各業,581,60063,57835,2228
2019,財物及損失鑑價人員,金融及保險業各業,4288,49553,47341,2212
2019,承銷人員,金融及保險業各業,439,70654,59221,11433
2019,保險代理人,金融及保險業各業,87218,62399,54330,8069
2019,工商業銷售代表(含業務員),金融及保險業各業,10145,65931,59608,6323
2019,採購員,金融及保險業各業,387,63321,55786,7535
2019,會議及活動規劃人員,金融及保險業各業,121,65837,54406,11431
2019,不動產經紀人,金融及保險業各業,… ,… ,… ,… 
2019,專業秘書,金融及保險業各業,1789,75262,70273,4989
2019,法務人員,金融及保險業各業,2343,63881,56905,6976
2019,職業運動員,金融及保險業各業,… ,… ,… ,… 
2019,資訊管理及維護技術員,金融及保險業各業,2759,63129,55757,7372
2019,事務支援人員,金融及保險業各業,112038,56324,48602,7722
2019,總務,金融及保險業各業,3411,59359,51924,7435
2019,一般辦公室事務人員(含文書),金融及保險業各業,19972,55665,49254,6411
2019,資料輸入人員,金融及保險業各業,2588,49066,42439,6627
2019,銀行、郵局櫃台事務人員,金融及保險業各業,44162,55137,47696,7441
2019,收帳、收費人員(含帳款催收),金融及保險業各業,3829,61064,53791,7273
2019,接待員及服務台事務人員,金融及保險業各業,1913,50615,45011,5604
2019,總機人員,金融及保險業各業,222,38158,34666,3492
2019,電話及網路客服人員,金融及保險業各業,5447,51894,47515,4379
2019,統計調查訪談人員,金融及保險業各業,19,57355,51566,5789
2019,會計助理、簿記、出納,金融及保險業各業,5008,60188,48065,12123
2019,核保人員,金融及保險業各業,3883,53165,49498,3667
2019,統計、財務、證券及保險事務人員,金融及保險業各業,19717,61128,50048,11080
2019,存貨事務人員,金融及保險業各業,42,55026,50582,4444
2019,人事事務人員,金融及保險業各業,1825,52585,47595,4990
2019,服務及銷售工作人員,金融及保險業各業,6827,63547,45728,17819
2019,廚師,金融及保險業各業,24,47938,46954,984
2019,按摩師,金融及保險業各業,102,24070,23954,116
2019,電話及網路行銷人員,金融及保險業各業,6128,60770,44305,16465
2019,建築物管理員、保全及警衛人員,金融及保險業各業,573,100920,64767,36153
2019,技藝、機械設備操作及組裝人員,金融及保險業各業,1441,66209,45190,21019
2019,建築物電力系統裝修人員(含水電工),金融及保險業各業,10,61239,57460,3779
2019,電力機械裝修人員,金融及保險業各業,154,48036,43988,4048
2019,資(通)訊設備裝修人員(含電信、電話),金融及保險業各業,234,95027,41136,53891
2019,機車送件駕駛人員,金融及保險業各業,… ,… ,… ,… 
2019,小客、貨車駕駛人員,金融及保險業各業,1042,62501,46170,16331
2019,基層技術工及勞力工,金融及保險業各業,959,59393,34467,24926
2019,清潔及家事工作人員(含建築清潔工),金融及保險業各業,287,25180,23672,1508
2019,勞力工,金融及保險業各業,571,79935,39326,40609
2019,廚房幫工(含速食烹調),金融及保險業各業,101,40480,37669,2811
2019,主管及監督人員,銀行業,29244,138271,113698,24573
2019,高階主管(總經理及總執行長),銀行業,656,379321,355392,23929
2019,中階主管(經理),銀行業,6420,169462,148121,21341
2019,監督人員(含現場及辦公室主任、科/股長),銀行業,22168,122104,96576,25528
2019,專業人員,銀行業,14314,75418,68803,6615
2019,精算師(取得正式資格者),銀行業,… ,… ,… ,… 
2019,數學、精算及統計專業人員,銀行業,9,86146,85678,468
2019,建築工程師(含建築師),銀行業,— ,— ,— ,— 
2019,醫師,銀行業,— ,— ,— ,— 
2019,護理人員,銀行業,25,37984,37343,641
2019,勞安及衛生管理人員(含工業安全管理師),銀行業,9,53387,50382,3005
2019,營養師,銀行業,… ,… ,… ,… 
2019,會(審)計師(含會計稽核),銀行業,135,106665,92075,14590
2019,風險控管人員,銀行業,1975,71363,66526,4837
2019,財務、經濟及投資分析研究人員,銀行業,1476,97801,86811,10990
2019,專案管理師(含經營管理顧問),銀行業,389,90232,88243,1989
2019,稽核人員,銀行業,1065,98280,89033,9247
2019,人力資源管理師,銀行業,440,84724,76320,8404
2019,廣告及行銷專業人員(含企劃),銀行業,2609,67661,61715,5946
2019,公關專業人員,銀行業,120,81957,71200,10757
2019,資訊系統分析及設計師,銀行業,1404,69815,65750,4065
2019,軟體開發及程式設計師,銀行業,3251,66283,59952,6331
2019,資料庫及網路專業人員,銀行業,1330,68734,62037,6697
2019,律師及相關專業人員,銀行業,52,146372,143765,2607
2019,翻譯人員,銀行業,… ,… ,… ,… 
2019,技術員及助理專業人員,銀行業,38169,79900,63630,16270
2019,營建工程技術員(含建築、土木、景觀、測量、水利),銀行業,… ,… ,… ,… 
2019,證券金融交易員及經紀人,銀行業,12761,104764,73177,31587
2019,信用及貸款人員,銀行業,11887,67769,56692,11077
2019,會計人員,銀行業,618,76719,67043,9676
2019,統計及精算助理專業人員,銀行業,215,62898,61723,1175
2019,財物及損失鑑價人員,銀行業,431,64984,60264,4720
2019,承銷人員,銀行業,— ,— ,— ,— 
2019,保險代理人,銀行業,314,86638,83630,3008
2019,工商業銷售代表(含業務員),銀行業,9138,65625,59034,6591
2019,採購員,銀行業,110,85430,63147,22283
2019,會議及活動規劃人員,銀行業,… ,… ,… ,… 
2019,不動產經紀人,銀行業,— ,— ,— ,— 
2019,專業秘書,銀行業,372,84274,79664,4610
2019,法務人員,銀行業,1218,65096,58985,6111
2019,職業運動員,銀行業,… ,… ,… ,… 
2019,資訊管理及維護技術員,銀行業,1083,64535,59754,4781
2019,事務支援人員,銀行業,64352,58625,50276,8349
2019,總務,銀行業,1674,68515,57107,11408
2019,一般辦公室事務人員(含文書),銀行業,9051,59830,50605,9225
2019,資料輸入人員,銀行業,250,64062,60496,3566
2019,銀行、郵局櫃台事務人員,銀行業,35814,56987,48383,8604
2019,收帳、收費人員(含帳款催收),銀行業,2948,60428,53905,6523
2019,接待員及服務台事務人員,銀行業,692,61692,47505,14187
2019,總機人員,銀行業,27,37407,36159,1248
2019,電話及網路客服人員,銀行業,3634,50603,46711,3892
2019,統計調查訪談人員,銀行業,… ,… ,… ,… 
2019,會計助理、簿記、出納,銀行業,2406,65423,52748,12675
2019,核保人員,銀行業,97,68576,63273,5303
2019,統計、財務、證券及保險事務人員,銀行業,7306,63705,57062,6643
2019,存貨事務人員,銀行業,42,55026,50582,4444
2019,人事事務人員,銀行業,406,53524,46911,6613
2019,服務及銷售工作人員,銀行業,4414,67699,43318,24381
2019,廚師,銀行業,17,46515,45763,752
2019,按摩師,銀行業,… ,… ,… ,… 
2019,電話及網路行銷人員,銀行業,3875,62868,40404,22464
2019,建築物管理員、保全及警衛人員,銀行業,517,105006,65249,39757
2019,技藝、機械設備操作及組裝人員,銀行業,749,64006,44420,19586
2019,建築物電力系統裝修人員(含水電工),銀行業,— ,— ,— ,— 
2019,電力機械裝修人員,銀行業,133,48624,44553,4071
2019,資(通)訊設備裝修人員(含電信、電話),銀行業,— ,— ,— ,— 
2019,機車送件駕駛人員,銀行業,— ,— ,— ,— 
2019,小客、貨車駕駛人員,銀行業,616,67328,44392,22936
2019,基層技術工及勞力工,銀行業,785,69221,38823,30398
2019,清潔及家事工作人員(含建築清潔工),銀行業,143,38665,35853,2812
2019,勞力工,銀行業,550,81977,39818,42159
2019,廚房幫工(含速食烹調),銀行業,92,40461,37497,2964
2019,主管及監督人員,信用合作社,1015,111491,72013,39478
2019,高階主管(總經理及總執行長),信用合作社,67,221109,146708,74401
2019,中階主管(經理),信用合作社,336,133051,80362,52689
2019,監督人員(含現場及辦公室主任、科/股長),信用合作社,612,87653,59252,28401
2019,專業人員,信用合作社,177,66282,51470,14812
2019,精算師(取得正式資格者),信用合作社,— ,— ,— ,— 
2019,數學、精算及統計專業人員,信用合作社,— ,— ,— ,— 
2019,建築工程師(含建築師),信用合作社,— ,— ,— ,— 
2019,醫師,信用合作社,— ,— ,— ,— 
2019,護理人員,信用合作社,— ,— ,— ,— 
2019,勞安及衛生管理人員(含工業安全管理師),信用合作社,— ,— ,— ,— 
2019,營養師,信用合作社,— ,— ,— ,— 
2019,會(審)計師(含會計稽核),信用合作社,— ,— ,— ,— 
2019,風險控管人員,信用合作社,… ,… ,… ,… 
2019,財務、經濟及投資分析研究人員,信用合作社,… ,… ,… ,… 
2019,專案管理師(含經營管理顧問),信用合作社,— ,— ,— ,— 
2019,稽核人員,信用合作社,87,61616,52921,8695
2019,人力資源管理師,信用合作社,— ,— ,— ,— 
2019,廣告及行銷專業人員(含企劃),信用合作社,15,80639,46540,34099
2019,公關專業人員,信用合作社,… ,… ,… ,… 
2019,資訊系統分析及設計師,信用合作社,… ,… ,… ,… 
2019,軟體開發及程式設計師,信用合作社,40,86103,52802,33301
2019,資料庫及網路專業人員,信用合作社,… ,… ,… ,… 
2019,律師及相關專業人員,信用合作社,— ,— ,— ,— 
2019,翻譯人員,信用合作社,— ,— ,— ,— 
2019,技術員及助理專業人員,信用合作社,356,60778,41654,19124
2019,營建工程技術員(含建築、土木、景觀、測量、水利),信用合作社,— ,— ,— ,— 
2019,證券金融交易員及經紀人,信用合作社,— ,— ,— ,— 
2019,信用及貸款人員,信用合作社,167,75371,40752,34619
2019,會計人員,信用合作社,87,50198,45654,4544
2019,統計及精算助理專業人員,信用合作社,— ,— ,— ,— 
2019,財物及損失鑑價人員,信用合作社,… ,… ,… ,… 
2019,承銷人員,信用合作社,— ,— ,— ,— 
2019,保險代理人,信用合作社,… ,… ,… ,… 
2019,工商業銷售代表(含業務員),信用合作社,— ,— ,— ,— 
2019,採購員,信用合作社,— ,— ,— ,— 
2019,會議及活動規劃人員,信用合作社,— ,— ,— ,— 
2019,不動產經紀人,信用合作社,— ,— ,— ,— 
2019,專業秘書,信用合作社,… ,… ,… ,… 
2019,法務人員,信用合作社,16,57928,44685,13243
2019,職業運動員,信用合作社,— ,— ,— ,— 
2019,資訊管理及維護技術員,信用合作社,64,46075,39904,6171
2019,事務支援人員,信用合作社,2299,51002,37401,13601
2019,總務,信用合作社,72,50248,41129,9119
2019,一般辦公室事務人員(含文書),信用合作社,135,40081,34760,5321
2019,資料輸入人員,信用合作社,— ,— ,— ,— 
2019,銀行、郵局櫃台事務人員,信用合作社,1825,46150,37206,8944
2019,收帳、收費人員(含帳款催收),信用合作社,46,154994,45854,109140
2019,接待員及服務台事務人員,信用合作社,— ,— ,— ,— 
2019,總機人員,信用合作社,… ,… ,… ,… 
2019,電話及網路客服人員,信用合作社,— ,— ,— ,— 
2019,統計調查訪談人員,信用合作社,— ,— ,— ,— 
2019,會計助理、簿記、出納,信用合作社,188,81171,37546,43625
2019,核保人員,信用合作社,— ,— ,— ,— 
2019,統計、財務、證券及保險事務人員,信用合作社,— ,— ,— ,— 
2019,存貨事務人員,信用合作社,— ,— ,— ,— 
2019,人事事務人員,信用合作社,28,52517,39988,12529
2019,服務及銷售工作人員,信用合作社,… ,… ,… ,… 
2019,廚師,信用合作社,— ,— ,— ,— 
2019,按摩師,信用合作社,— ,— ,— ,— 
2019,電話及網路行銷人員,信用合作社,— ,— ,— ,— 
2019,建築物管理員、保全及警衛人員,信用合作社,… ,… ,… ,… 
2019,技藝、機械設備操作及組裝人員,信用合作社,29,38461,37218,1243
2019,建築物電力系統裝修人員(含水電工),信用合作社,… ,… ,… ,… 
2019,電力機械裝修人員,信用合作社,— ,— ,— ,— 
2019,資(通)訊設備裝修人員(含電信、電話),信用合作社,— ,— ,— ,— 
2019,機車送件駕駛人員,信用合作社,— ,— ,— ,— 
2019,小客、貨車駕駛人員,信用合作社,26,38267,37270,997
2019,基層技術工及勞力工,信用合作社,42,28877,28145,732
2019,清潔及家事工作人員(含建築清潔工),信用合作社,21,31295,29831,1464
2019,勞力工,信用合作社,… ,… ,… ,… 
2019,廚房幫工(含速食烹調),信用合作社,— ,— ,— ,— 
2019,主管及監督人員,農會及漁會信用部,1391,80134,71219,8915
2019,高階主管(總經理及總執行長),農會及漁會信用部,81,131788,103351,28437
2019,中階主管(經理),農會及漁會信用部,216,102743,80591,22152
2019,監督人員(含現場及辦公室主任、科/股長),農會及漁會信用部,1094,71846,66989,4857
2019,專業人員,農會及漁會信用部,278,87870,57518,30352
2019,精算師(取得正式資格者),農會及漁會信用部,— ,— ,— ,— 
2019,數學、精算及統計專業人員,農會及漁會信用部,— ,— ,— ,— 
2019,建築工程師(含建築師),農會及漁會信用部,— ,— ,— ,— 
2019,醫師,農會及漁會信用部,— ,— ,— ,— 
2019,護理人員,農會及漁會信用部,— ,— ,— ,— 
2019,勞安及衛生管理人員(含工業安全管理師),農會及漁會信用部,— ,— ,— ,— 
2019,營養師,農會及漁會信用部,— ,— ,— ,— 
2019,會(審)計師(含會計稽核),農會及漁會信用部,… ,… ,… ,… 
2019,風險控管人員,農會及漁會信用部,45,208375,77097,131278
2019,財務、經濟及投資分析研究人員,農會及漁會信用部,… ,… ,… ,… 
2019,專案管理師(含經營管理顧問),農會及漁會信用部,— ,— ,— ,— 
2019,稽核人員,農會及漁會信用部,148,58461,55910,2551
2019,人力資源管理師,農會及漁會信用部,— ,— ,— ,— 
2019,廣告及行銷專業人員(含企劃),農會及漁會信用部,… ,… ,… ,… 
2019,公關專業人員,農會及漁會信用部,— ,— ,— ,— 
2019,資訊系統分析及設計師,農會及漁會信用部,17,82866,51480,31386
2019,軟體開發及程式設計師,農會及漁會信用部,… ,… ,… ,… 
2019,資料庫及網路專業人員,農會及漁會信用部,12,91866,64911,26955
2019,律師及相關專業人員,農會及漁會信用部,— ,— ,— ,— 
2019,翻譯人員,農會及漁會信用部,— ,— ,— ,— 
2019,技術員及助理專業人員,農會及漁會信用部,1071,56637,50008,6629
2019,營建工程技術員(含建築、土木、景觀、測量、水利),農會及漁會信用部,— ,— ,— ,— 
2019,證券金融交易員及經紀人,農會及漁會信用部,… ,… ,… ,… 
2019,信用及貸款人員,農會及漁會信用部,953,54959,49784,5175
2019,會計人員,農會及漁會信用部,68,67997,55650,12347
2019,統計及精算助理專業人員,農會及漁會信用部,— ,— ,— ,— 
2019,財物及損失鑑價人員,農會及漁會信用部,7,55659,55659,— 
2019,承銷人員,農會及漁會信用部,— ,— ,— ,— 
2019,保險代理人,農會及漁會信用部,… ,… ,… ,… 
2019,工商業銷售代表(含業務員),農會及漁會信用部,… ,… ,… ,… 
2019,採購員,農會及漁會信用部,— ,— ,— ,— 
2019,會議及活動規劃人員,農會及漁會信用部,— ,— ,— ,— 
2019,不動產經紀人,農會及漁會信用部,— ,— ,— ,— 
2019,專業秘書,農會及漁會信用部,— ,— ,— ,— 
2019,法務人員,農會及漁會信用部,6,59865,38952,20913
2019,職業運動員,農會及漁會信用部,— ,— ,— ,— 
2019,資訊管理及維護技術員,農會及漁會信用部,20,57377,43646,13731
2019,事務支援人員,農會及漁會信用部,7951,48052,46770,1282
2019,總務,農會及漁會信用部,79,46145,41599,4546
2019,一般辦公室事務人員(含文書),農會及漁會信用部,299,55995,45188,10807
2019,資料輸入人員,農會及漁會信用部,148,45725,45725,— 
2019,銀行、郵局櫃台事務人員,農會及漁會信用部,6523,47493,46859,634
2019,收帳、收費人員(含帳款催收),農會及漁會信用部,294,50269,48934,1335
2019,接待員及服務台事務人員,農會及漁會信用部,114,48793,48607,186
2019,總機人員,農會及漁會信用部,30,44356,44356,— 
2019,電話及網路客服人員,農會及漁會信用部,— ,— ,— ,— 
2019,統計調查訪談人員,農會及漁會信用部,— ,— ,— ,— 
2019,會計助理、簿記、出納,農會及漁會信用部,401,46486,45604,882
2019,核保人員,農會及漁會信用部,… ,… ,… ,… 
2019,統計、財務、證券及保險事務人員,農會及漁會信用部,28,93679,50665,43014
2019,存貨事務人員,農會及漁會信用部,— ,— ,— ,— 
2019,人事事務人員,農會及漁會信用部,31,62402,46600,15802
2019,服務及銷售工作人員,農會及漁會信用部,… ,… ,… ,… 
2019,廚師,農會及漁會信用部,— ,— ,— ,— 
2019,按摩師,農會及漁會信用部,— ,— ,— ,— 
2019,電話及網路行銷人員,農會及漁會信用部,— ,— ,— ,— 
2019,建築物管理員、保全及警衛人員,農會及漁會信用部,… ,… ,… ,… 
2019,技藝、機械設備操作及組裝人員,農會及漁會信用部,17,57841,41944,15897
2019,建築物電力系統裝修人員(含水電工),農會及漁會信用部,— ,— ,— ,— 
2019,電力機械裝修人員,農會及漁會信用部,— ,— ,— ,— 
2019,資(通)訊設備裝修人員(含電信、電話),農會及漁會信用部,— ,— ,— ,— 
2019,機車送件駕駛人員,農會及漁會信用部,— ,— ,— ,— 
2019,小客、貨車駕駛人員,農會及漁會信用部,17,57841,41944,15897
2019,基層技術工及勞力工,農會及漁會信用部,— ,— ,— ,— 
2019,清潔及家事工作人員(含建築清潔工),農會及漁會信用部,— ,— ,— ,— 
2019,勞力工,農會及漁會信用部,— ,— ,— ,— 
2019,廚房幫工(含速食烹調),農會及漁會信用部,— ,— ,— ,— 
2019,主管及監督人員,其他金融服務業,908,143560,143198,362
2019,高階主管(總經理及總執行長),其他金融服務業,183,291388,290960,428
2019,中階主管(經理),其他金融服務業,287,130862,130575,287
2019,監督人員(含現場及辦公室主任、科/股長),其他金融服務業,438,90117,89732,385
2019,專業人員,其他金融服務業,12571,68047,67287,760
2019,精算師(取得正式資格者),其他金融服務業,— ,— ,— ,— 
2019,數學、精算及統計專業人員,其他金融服務業,— ,— ,— ,— 
2019,建築工程師(含建築師),其他金融服務業,— ,— ,— ,— 
2019,醫師,其他金融服務業,— ,— ,— ,— 
2019,護理人員,其他金融服務業,— ,— ,— ,— 
2019,勞安及衛生管理人員(含工業安全管理師),其他金融服務業,— ,— ,— ,— 
2019,營養師,其他金融服務業,— ,— ,— ,— 
2019,會(審)計師(含會計稽核),其他金融服務業,385,80690,78460,2230
2019,風險控管人員,其他金融服務業,1840,62773,61895,878
2019,財務、經濟及投資分析研究人員,其他金融服務業,1628,75206,75003,203
2019,專案管理師(含經營管理顧問),其他金融服務業,83,58158,57511,647
2019,稽核人員,其他金融服務業,2633,78581,77601,980
2019,人力資源管理師,其他金融服務業,1324,63269,62534,735
2019,廣告及行銷專業人員(含企劃),其他金融服務業,132,58685,58035,650
2019,公關專業人員,其他金融服務業,37,51770,51156,614
2019,資訊系統分析及設計師,其他金融服務業,1390,64337,62994,1343
