年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,不動產業各業,17284,74938,63392,11546
2019,高階主管(總經理及總執行長),不動產業各業,488,195113,168971,26142
2019,中階主管(經理),不動產業各業,2927,103779,86847,16932
2019,監督人員(含現場及辦公室主任、科/股長),不動產業各業,13869,64624,54728,9896
2019,專業人員,不動產業各業,4572,64627,56312,8315
2019,農、林、漁、牧業專業人員,不動產業各業,27,62465,58351,4114
2019,土木及水利工程師,不動產業各業,255,79659,79374,285
2019,環境工程師,不動產業各業,10,47990,47564,426
2019,電機工程師,不動產業各業,89,70554,70080,474
2019,建築工程師(含建築師),不動產業各業,273,68750,68747,3
2019,景觀設計師,不動產業各業,21,71765,71765,— 
2019,室內設計師,不動產業各業,176,72878,61194,11684
2019,平面及多媒體設計師,不動產業各業,161,50518,50487,31
2019,獸醫師,不動產業各業,… ,… ,… ,… 
2019,勞安及衛生管理人員(含工業安全管理師),不動產業各業,36,118129,68901,49228
2019,會(審)計師(含會計稽核),不動產業各業,111,76003,66085,9918
2019,財務、經濟及投資分析研究人員,不動產業各業,188,94572,62613,31959
2019,專案管理師(含經營管理顧問),不動產業各業,599,61114,59806,1308
2019,人力資源管理師,不動產業各業,100,75602,58553,17049
2019,廣告及行銷專業人員(含企劃),不動產業各業,1941,58316,46391,11925
2019,公關專業人員,不動產業各業,99,59462,58541,921
2019,資訊系統分析及設計師,不動產業各業,115,67532,65051,2481
2019,軟體開發及程式設計師,不動產業各業,279,64577,62537,2040
2019,資料庫及網路專業人員,不動產業各業,78,57959,55760,2199
2019,律師及相關專業人員,不動產業各業,6,130300,130300,— 
2019,翻譯人員,不動產業各業,… ,… ,… ,… 
2019,技術員及助理專業人員,不動產業各業,46424,50312,42835,7477
2019,營建工程技術員(含建築、土木、景觀、測量、水利),不動產業各業,4866,56366,52247,4119
2019,電機技術員,不動產業各業,297,57023,56840,183
2019,環境工程技術員,不動產業各業,… ,… ,… ,… 
2019,農業技術及農業推廣人員,不動產業各業,212,63707,60233,3474
2019,船舶監管人員(含引水人員),不動產業各業,… ,… ,… ,… 
2019,勞安及衛生技術員,不動產業各業,… ,… ,… ,… 
2019,會計人員,不動產業各業,584,62609,54050,8559
2019,財物及損失鑑價人員,不動產業各業,552,48329,47023,1306
2019,工商業銷售代表(含業務員),不動產業各業,4440,64349,42778,21571
2019,採購員,不動產業各業,387,55947,53292,2655
2019,不動產經紀人,不動產業各業,32985,47231,40897,6334
2019,拍賣員(不含電子購物、郵購),不動產業各業,… ,… ,… ,… 
2019,專業秘書,不動產業各業,1109,45467,42033,3434
2019,土地代書(地政士),不動產業各業,19,66573,61967,4606
2019,法務人員,不動產業各業,106,84559,51432,33127
2019,資訊管理及維護技術員,不動產業各業,712,48345,37979,10366
2019,事務支援人員,不動產業各業,45140,36955,34272,2683
2019,總務,不動產業各業,3640,42194,40452,1742
2019,一般辦公室事務人員(含文書),不動產業各業,22540,36262,32587,3675
2019,資料輸入人員,不動產業各業,980,25952,25598,354
2019,收帳、收費人員(含帳款催收),不動產業各業,1157,39196,37617,1579
2019,接待員及服務台事務人員,不動產業各業,1568,29112,28755,357
2019,總機人員,不動產業各業,1036,31090,28388,2702
2019,統計調查訪談人員,不動產業各業,… ,… ,… ,… 
2019,會計助理、簿記、出納,不動產業各業,12337,38367,36407,1960
2019,統計、財務、證券及保險事務人員,不動產業各業,… ,… ,… ,… 
2019,存貨事務人員,不動產業各業,417,45900,45860,40
2019,人事事務人員,不動產業各業,1401,37341,36865,476
2019,服務及銷售工作人員,不動產業各業,3797,35955,34422,1533
2019,按摩師,不動產業各業,… ,… ,… ,… 
2019,商店銷售人員(含百貨公司樓管人員),不動產業各業,345,23819,23398,421
2019,展售說明人員,不動產業各業,2483,36567,36525,42
2019,建築物管理員、保全及警衛人員,不動產業各業,967,38715,32958,5757
2019,技藝、機械設備操作及組裝人員,不動產業各業,1055,58280,45223,13057
2019,園藝及農牧業生產人員,不動產業各業,… ,… ,… ,… 
2019,營建木作人員,不動產業各業,169,42500,42500,— 
2019,泥作工作人員,不動產業各業,… ,… ,… ,… 
2019,建築物電力系統裝修人員(含水電工),不動產業各業,… ,… ,… ,… 
2019,電力機械裝修人員,不動產業各業,… ,… ,… ,… 
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),不動產業各業,… ,… ,… ,… 
2019,軌道車輛駕駛人員,不動產業各業,47,61479,55701,5778
2019,小客、貨車駕駛人員,不動產業各業,685,65771,46403,19368
2019,大客、貨車駕駛人員,不動產業各業,… ,… ,… ,… 
