年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,專業、科學及技術服務業各業,56023,99351,84256,15095
2019,高階主管(總經理及總執行長),專業、科學及技術服務業各業,6175,198392,174724,23668
2019,中階主管(經理),專業、科學及技術服務業各業,18024,119073,93933,25140
2019,監督人員(含現場及辦公室主任、科/股長),專業、科學及技術服務業各業,31824,68963,61220,7743
2019,專業人員,專業、科學及技術服務業各業,69406,64215,58100,6115
2019,物理、化學及地球科學專業人員,專業、科學及技術服務業各業,713,45977,45837,140
2019,生物、植物及動物學專業人員,專業、科學及技術服務業各業,550,61470,61470,— 
2019,農、林、漁、牧業專業人員,專業、科學及技術服務業各業,… ,… ,… ,… 
2019,品管工程師,專業、科學及技術服務業各業,2930,61915,53631,8284
2019,工管及生管工程師,專業、科學及技術服務業各業,300,71364,70411,953
2019,土木及水利工程師,專業、科學及技術服務業各業,4855,59850,56386,3464
2019,環境工程師,專業、科學及技術服務業各業,3693,51610,48235,3375
2019,機械工程師(含造船、輪機、鑄造),專業、科學及技術服務業各業,3271,78114,71400,6714
2019,食品工程師,專業、科學及技術服務業各業,150,49193,42254,6939
2019,化工工程師,專業、科學及技術服務業各業,1081,60160,57154,3006
2019,紡織工程師,專業、科學及技術服務業各業,30,54552,48779,5773
2019,生物科學工程師,專業、科學及技術服務業各業,577,49154,44452,4702
2019,光學工程師,專業、科學及技術服務業各業,14,46438,39284,7154
2019,電機工程師,專業、科學及技術服務業各業,1367,72116,66974,5142
2019,電子工程師,專業、科學及技術服務業各業,4545,86165,73877,12288
2019,電信工程師,專業、科學及技術服務業各業,… ,… ,… ,… 
2019,建築工程師(含建築師),專業、科學及技術服務業各業,1768,65832,60063,5769
2019,景觀設計師,專業、科學及技術服務業各業,… ,… ,… ,… 
2019,都市及交通規劃師,專業、科學及技術服務業各業,… ,… ,… ,… 
2019,測量師及製圖師,專業、科學及技術服務業各業,1408,51878,51323,555
2019,室內設計師,專業、科學及技術服務業各業,2619,66306,57400,8906
2019,平面及多媒體設計師,專業、科學及技術服務業各業,4669,49224,47350,1874
2019,產品及服裝設計師(含工業設計),專業、科學及技術服務業各業,1334,70755,66224,4531
2019,護理人員,專業、科學及技術服務業各業,410,117801,40844,76957
2019,獸醫師,專業、科學及技術服務業各業,45,38169,37980,189
2019,藥事人員(含藥師),專業、科學及技術服務業各業,124,48589,48290,299
2019,勞安及衛生管理人員(含工業安全管理師),專業、科學及技術服務業各業,139,57075,51026,6049
2019,會(審)計師(含會計稽核),專業、科學及技術服務業各業,3717,72188,56818,15370
2019,風險控管人員,專業、科學及技術服務業各業,… ,… ,… ,… 
2019,財務、經濟及投資分析研究人員,專業、科學及技術服務業各業,1281,64075,59155,4920
2019,專案管理師(含經營管理顧問),專業、科學及技術服務業各業,5414,69291,59782,9509
2019,稽核人員,專業、科學及技術服務業各業,227,78481,70333,8148
2019,人力資源管理師,專業、科學及技術服務業各業,2506,61836,58809,3027
2019,廣告及行銷專業人員(含企劃),專業、科學及技術服務業各業,9165,52884,50531,2353
2019,公關專業人員,專業、科學及技術服務業各業,981,56248,54048,2200
2019,資訊系統分析及設計師,專業、科學及技術服務業各業,1210,68692,63504,5188
2019,軟體開發及程式設計師,專業、科學及技術服務業各業,2979,70989,65078,5911
