年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,支援服務業各業,35675,62752,59807,2945
2019,高階主管(總經理及總執行長),支援服務業各業,1738,131857,128748,3109
2019,中階主管(經理),支援服務業各業,8096,80237,75945,4292
2019,監督人員(含現場及辦公室主任、科/股長),支援服務業各業,25841,52626,50114,2512
2019,專業人員,支援服務業各業,8201,46407,44457,1950
2019,品管工程師,支援服務業各業,… ,… ,… ,… 
2019,工管及生管工程師,支援服務業各業,… ,… ,… ,… 
2019,機械工程師(含造船、輪機、鑄造),支援服務業各業,… ,… ,… ,… 
2019,電機工程師,支援服務業各業,507,65315,58091,7224
2019,電子工程師,支援服務業各業,632,60101,56705,3396
2019,電信工程師,支援服務業各業,… ,… ,… ,… 
2019,室內設計師,支援服務業各業,… ,… ,… ,… 
2019,平面及多媒體設計師,支援服務業各業,532,41539,41343,196
2019,產品及服裝設計師(含工業設計),支援服務業各業,… ,… ,… ,… 
2019,勞安及衛生管理人員(含工業安全管理師),支援服務業各業,… ,… ,… ,… 
2019,其他醫療保健專業人員,支援服務業各業,… ,… ,… ,… 
2019,財務、經濟及投資分析研究人員,支援服務業各業,… ,… ,… ,… 
2019,專案管理師(含經營管理顧問),支援服務業各業,323,57647,56276,1371
2019,稽核人員,支援服務業各業,11,48647,48647,— 
2019,人力資源管理師,支援服務業各業,430,49207,48046,1161
2019,廣告及行銷專業人員(含企劃),支援服務業各業,1436,46240,43295,2945
2019,資訊系統分析及設計師,支援服務業各業,406,60225,55798,4427
2019,軟體開發及程式設計師,支援服務業各業,455,57040,55053,1987
2019,資料庫及網路專業人員,支援服務業各業,375,57500,55969,1531
2019,社工、心理專業人員(含諮商人員),支援服務業各業,47,40878,40878,— 
2019,編輯、作家及有關撰稿人員,支援服務業各業,11,44847,44181,666
2019,翻譯人員,支援服務業各業,2847,32935,32463,472
2019,技術員及助理專業人員,支援服務業各業,26601,43039,37719,5320
2019,物理、化學及地球科學技術員,支援服務業各業,… ,… ,… ,… 
2019,營建工程技術員(含建築、土木、景觀、測量、水利),支援服務業各業,81,59547,49459,10088
2019,電機技術員,支援服務業各業,2533,42943,40152,2791
2019,電子技術員,支援服務業各業,2426,41717,40894,823
2019,機械技術員(含造船、輪機、鑄造),支援服務業各業,782,40311,39589,722
2019,化工技術員,支援服務業各業,71,46438,41001,5437
2019,品管技術員,支援服務業各業,72,59631,41328,18303
2019,製圖員,支援服務業各業,… ,… ,… ,… 
2019,環境工程技術員,支援服務業各業,1221,39823,38935,888
2019,生命科學技術員,支援服務業各業,… ,… ,… ,… 
2019,農業技術及農業推廣人員,支援服務業各業,222,39406,39219,187
2019,勞安及衛生技術員,支援服務業各業,113,39021,38812,209
2019,信用及貸款人員,支援服務業各業,… ,… ,… ,… 
2019,會計人員,支援服務業各業,133,54876,54140,736
2019,工商業銷售代表(含業務員),支援服務業各業,10790,46046,34921,11125
2019,採購員,支援服務業各業,78,39601,38569,1032
2019,會議及活動規劃人員,支援服務業各業,788,41038,41038,— 
2019,職業介紹人及承包人,支援服務業各業,3771,35452,34787,665
2019,專業秘書,支援服務業各業,817,47459,46864,595
2019,法務人員,支援服務業各業,703,44820,43378,1442
2019,資訊管理及維護技術員,支援服務業各業,1692,43537,41241,2296
2019,廣播及視聽技術員(含放映員),支援服務業各業,36,28234,28079,155
2019,電信技術員,支援服務業各業,56,41235,41095,140
2019,事務支援人員,支援服務業各業,90593,36294,35074,1220
2019,總務,支援服務業各業,3021,34288,33305,983
2019,一般辦公室事務人員(含文書),支援服務業各業,39843,35606,34537,1069
2019,資料輸入人員,支援服務業各業,3782,30889,30509,380
2019,收帳、收費人員(含帳款催收),支援服務業各業,1366,35564,34474,1090
2019,旅遊諮詢人員(含旅行社事務人員),支援服務業各業,13403,37118,34956,2162
2019,接待員及服務台事務人員,支援服務業各業,4450,30880,29659,1221
2019,總機人員,支援服務業各業,1372,39345,37051,2294
2019,電話及網路客服人員,支援服務業各業,10812,40219,39439,780
2019,統計調查訪談人員,支援服務業各業,381,43404,39571,3833
2019,會計助理、簿記、出納,支援服務業各業,7942,37333,36096,1237
2019,核保人員,支援服務業各業,… ,… ,… ,… 
2019,統計、財務、證券及保險事務人員,支援服務業各業,30,48661,43333,5328
2019,存貨事務人員,支援服務業各業,479,33378,31296,2082
2019,生產及物料規劃事務人員,支援服務業各業,120,47284,44883,2401
2019,人事事務人員,支援服務業各業,3580,39079,38176,903
2019,教務人員(含班導師、輔導員),支援服務業各業,… ,… ,… ,… 
2019,服務及銷售工作人員,支援服務業各業,101093,33175,30022,3153
2019,導遊、領隊及解說員,支援服務業各業,1646,35995,35995,— 
2019,餐飲服務人員,支援服務業各業,… ,… ,… ,… 
2019,宿舍舍監,支援服務業各業,29,34050,32159,1891
2019,按摩師,支援服務業各業,16,27050,27050,— 
2019,商店銷售人員(含百貨公司樓管人員),支援服務業各業,7068,41900,40417,1483
2019,收銀員及售票員,支援服務業各業,748,34053,33395,658
2019,展售說明人員,支援服務業各業,3322,30603,25367,5236
2019,電話及網路行銷人員,支援服務業各業,5054,37573,36093,1480
2019,加油站服務員,支援服務業各業,1794,32097,30999,1098
2019,兒童照顧人員(含保母),支援服務業各業,… ,… ,… ,… 
2019,健康照顧人員(含看護、月子照護),支援服務業各業,1258,34325,33937,388
2019,建築物管理員、保全及警衛人員,支援服務業各業,79366,32227,28699,3528
2019,救生員,支援服務業各業,… ,… ,… ,… 
2019,技藝、機械設備操作及組裝人員,支援服務業各業,51347,36325,33036,3289
2019,園藝及農牧業生產人員,支援服務業各業,196,28768,28767,1
2019,油漆、噴漆人員(含裱糊工),支援服務業各業,… ,… ,… ,… 
2019,鍛造、錘造及鍛壓工作人員,支援服務業各業,… ,… ,… ,… 
2019,車輛維修人員(含自行車、機車、汽車、火車),支援服務業各業,220,40776,33394,7382
2019,產業用機器維修人員,支援服務業各業,1044,34612,31856,2756
2019,印刷人員,支援服務業各業,1749,28841,28841,— 
2019,建築物電力系統裝修人員(含水電工),支援服務業各業,386,41793,41457,336
2019,電力機械裝修人員,支援服務業各業,5124,46226,37440,8786
2019,資(通)訊設備裝修人員(含電信、電話),支援服務業各業,2330,49220,47057,2163
2019,電子設備裝修人員（不含資通訊設備）,支援服務業各業,3554,26248,26036,212
2019,食品製造及處理人員(含酒類、飲料、製糖、菸葉),支援服務業各業,… ,… ,… ,… 
2019,非食品飲料產品分級及檢查人員,支援服務業各業,… ,… ,… ,… 
2019,消毒及除蟲有關工作人員,支援服務業各業,311,33456,31251,2205
2019,金屬製造設備操作員(含熔煉、鑄造、輾軋、熱處理、抽製及擠型等),支援服務業各業,… ,… ,… ,… 
2019,藥品及化粧品機械操作人員,支援服務業各業,… ,… ,… ,… 
2019,印刷電路板製造工,支援服務業各業,739,35780,30196,5584
2019,包裝機械操作人員,支援服務業各業,564,29643,26835,2808
2019,組裝(現場)人員,支援服務業各業,28843,34197,31349,2848
2019,機車送件駕駛人員,支援服務業各業,… ,… ,… ,… 
2019,小客、貨車駕駛人員,支援服務業各業,3317,40041,37641,2400
2019,大客、貨車駕駛人員,支援服務業各業,1385,45585,40829,4756
2019,推土、吊車、起重機等移運設備操作人員,支援服務業各業,947,46677,38693,7984
2019,船舶艙面水手及有關工作人員,支援服務業各業,… ,… ,… ,… 
2019,基層技術工及勞力工,支援服務業各業,92305,27490,26818,672
2019,清潔及家事工作人員(含建築清潔工),支援服務業各業,68360,27112,26613,499
2019,勞力工,支援服務業各業,15820,28909,27991,918
2019,理貨員,支援服務業各業,7475,27442,25691,1751
2019,廚房幫工(含速食烹調),支援服務業各業,209,29990,28794,1196
2019,抄表員及自動販賣機收款員,支援服務業各業,… ,… ,… ,… 
2019,遊樂場所服務員,支援服務業各業,… ,… ,… ,… 
2019,主管及監督人員,租賃業,5301,55147,52706,2441
2019,高階主管(總經理及總執行長),租賃業,98,107987,107987,— 
2019,中階主管(經理),租賃業,866,77264,70459,6805
2019,監督人員(含現場及辦公室主任、科/股長),租賃業,4337,49537,47912,1625
2019,專業人員,租賃業,810,49145,46788,2357
2019,品管工程師,租賃業,— ,— ,— ,— 
2019,工管及生管工程師,租賃業,— ,— ,— ,— 
2019,機械工程師(含造船、輪機、鑄造),租賃業,— ,— ,— ,— 
