年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,教育業,4529,47293,44991,2302
2019,高階主管(總經理及總執行長),教育業,67,162376,148507,13869
2019,中階主管(經理),教育業,505,77125,72125,5000
2019,監督人員(含現場及辦公室主任、科/股長),教育業,3957,41537,39775,1762
2019,專業人員,教育業,37790,26040,24651,1389
2019,平面及多媒體設計師,教育業,99,42117,37564,4553
2019,補教業教師,教育業,36988,25783,24417,1366
2019,稽核人員,教育業,… ,… ,… ,… 
2019,人力資源管理師,教育業,… ,… ,… ,… 
2019,廣告及行銷專業人員(含企劃),教育業,521,32426,31483,943
2019,公關專業人員,教育業,… ,… ,… ,… 
2019,資訊系統分析及設計師,教育業,22,47817,46528,1289
2019,軟體開發及程式設計師,教育業,111,54726,48246,6480
2019,資料庫及網路專業人員,教育業,21,56852,45255,11597
2019,專利工程師及公證人,教育業,… ,… ,… ,… 
2019,編輯、作家及有關撰稿人員,教育業,… ,… ,… ,… 
2019,技術員及助理專業人員,教育業,1135,43448,35492,7956
2019,會計人員,教育業,128,44038,44038,— 
2019,工商業銷售代表(含業務員),教育業,800,46702,35656,11046
2019,法務人員,教育業,… ,… ,… ,… 
2019,資訊管理及維護技術員,教育業,203,30446,29494,952
2019,事務支援人員,教育業,25935,24824,23723,1101
2019,總務,教育業,721,28035,27225,810
2019,一般辦公室事務人員(含文書),教育業,6875,25041,23621,1420
2019,資料輸入人員,教育業,378,39257,17534,21723
2019,接待員及服務台事務人員,教育業,4870,26657,25662,995
2019,總機人員,教育業,40,20090,19748,342
2019,電話及網路客服人員,教育業,309,25092,18791,6301
2019,會計助理、簿記、出納,教育業,885,26797,25800,997
2019,存貨事務人員,教育業,70,30364,28590,1774
2019,人事事務人員,教育業,475,27982,27826,156
2019,教務人員(含班導師、輔導員),教育業,11312,22904,22717,187
2019,服務及銷售工作人員,教育業,498,33935,22860,11075
2019,廚師,教育業,13,38068,38068,— 
2019,按摩師,教育業,… ,… ,… ,… 
2019,商店銷售人員(含百貨公司樓管人員),教育業,… ,… ,… ,… 
2019,電話及網路行銷人員,教育業,296,40594,22636,17958
2019,兒童照顧人員(含保母),教育業,… ,… ,… ,… 
2019,建築物管理員、保全及警衛人員,教育業,8,24047,24047,— 
2019,技藝、機械設備操作及組裝人員,教育業,613,21701,21312,389
2019,美編及印刷前置工作人員,教育業,… ,… ,… ,… 
2019,小客、貨車駕駛人員,教育業,565,21617,21195,422
2019,基層技術工及勞力工,教育業,946,14185,14185,— 
2019,清潔及家事工作人員(含建築清潔工),教育業,776,14101,14101,— 
2019,勞力工,教育業,… ,… ,… ,… 
2019,廚房幫工(含速食烹調),教育業,51,20907,20907,— 
