年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,醫療保健業,14495,122147,104811,17336
2019,高階主管(總經理及總執行長),醫療保健業,1175,234265,202820,31445
2019,中階主管(經理),醫療保健業,3201,158123,131429,26694
2019,監督人員(含現場及辦公室主任、科/股長),醫療保健業,10119,97748,85011,12737
2019,專業人員,醫療保健業,268641,70037,62345,7692
2019,數學、精算及統計專業人員,醫療保健業,… ,… ,… ,… 
2019,醫療器材、醫學工程師,醫療保健業,346,53278,50191,3087
2019,生物科學工程師,醫療保健業,802,54100,51658,2442
2019,電機工程師,醫療保健業,295,59650,53374,6276
2019,平面及多媒體設計師,醫療保健業,… ,… ,… ,… 
2019,醫師,醫療保健業,49851,164247,142671,21576
2019,護理人員,醫療保健業,159623,48131,43243,4888
2019,藥事人員(含藥師),醫療保健業,25978,51391,47570,3821
2019,勞安及衛生管理人員(含工業安全管理師),醫療保健業,77,54771,50570,4201
2019,物理治療師,醫療保健業,6608,45147,42424,2723
2019,營養師,醫療保健業,2778,42684,40714,1970
2019,聽力及語言治療師,醫療保健業,1391,53634,50869,2765
2019,職能治療師,醫療保健業,3418,44982,42068,2914
2019,呼吸治療師,醫療保健業,2012,49684,44027,5657
2019,醫院管理師,醫療保健業,2263,45065,39285,5780
2019,其他醫療保健專業人員,醫療保健業,6390,53110,48935,4175
2019,專案管理師(含經營管理顧問),醫療保健業,576,49329,45905,3424
2019,稽核人員,醫療保健業,18,56016,52931,3085
2019,人力資源管理師,醫療保健業,243,49051,46263,2788
2019,廣告及行銷專業人員(含企劃),醫療保健業,560,42716,40402,2314
2019,公關專業人員,醫療保健業,296,41967,39988,1979
2019,資訊系統分析及設計師,醫療保健業,860,61995,58678,3317
2019,軟體開發及程式設計師,醫療保健業,561,51446,49614,1832
2019,資料庫及網路專業人員,醫療保健業,213,58542,56804,1738
2019,律師及相關專業人員,醫療保健業,… ,… ,… ,… 
2019,社工、心理專業人員(含諮商人員),醫療保健業,3468,47800,45257,2543
2019,技術員及助理專業人員,醫療保健業,43512,37870,34935,2935
2019,營建工程技術員(含建築、土木、景觀、測量、水利),醫療保健業,37,47416,40726,6690
2019,電機技術員,醫療保健業,756,46964,43271,3693
2019,焚化爐、水處理及氣(液)體設備操作員,醫療保健業,… ,… ,… ,… 
2019,生命科學技術員,醫療保健業,76,38574,38093,481
2019,醫療設備控制技術員,醫療保健業,5091,49908,46366,3542
2019,醫學及病理檢驗人員,醫療保健業,7707,50887,46960,3927
2019,義肢、義齒等人體輔具技術員,醫療保健業,86,45302,37305,7997
2019,傳統醫學技術員,醫療保健業,1471,37405,24968,12437
2019,牙醫助理,醫療保健業,7585,24073,23508,565
2019,病歷管理人員,醫療保健業,3550,31413,29968,1445
2019,配鏡、驗光技術員,醫療保健業,172,33757,30803,2954
2019,物理、職能(復健)治療技術員,醫療保健業,2073,34563,31164,3399
2019,勞安及衛生技術員,醫療保健業,40,32516,29834,2682
2019,其他醫療保健助理專業人員,醫療保健業,10600,33411,30741,2670
2019,會計人員,醫療保健業,296,48152,47454,698
2019,統計及精算助理專業人員,醫療保健業,… ,… ,… ,… 
2019,工商業銷售代表(含業務員),醫療保健業,272,49689,39586,10103
2019,採購員,醫療保健業,844,36915,33309,3606
2019,專業秘書,醫療保健業,799,42841,41166,1675
2019,法務人員,醫療保健業,89,46824,43444,3380
2019,社會工作助理人員,醫療保健業,755,29979,27692,2287
2019,運動、健身及休閒娛樂指導員,醫療保健業,… ,… ,… ,… 
2019,資訊管理及維護技術員,醫療保健業,1201,45790,43647,2143
2019,事務支援人員,醫療保健業,32042,31795,29549,2246
2019,總務,醫療保健業,1971,35202,33402,1800
2019,一般辦公室事務人員(含文書),醫療保健業,12641,34330,31913,2417
2019,資料輸入人員,醫療保健業,776,28838,28022,816
2019,收帳、收費人員(含帳款催收),醫療保健業,45,27491,25864,1627
2019,接待員及服務台事務人員,醫療保健業,1611,32174,26748,5426
2019,總機人員,醫療保健業,496,32496,29491,3005
2019,電話及網路客服人員,醫療保健業,139,30720,29810,910
2019,醫院(診所)櫃台事務人員,醫療保健業,10876,28035,26235,1800
2019,會計助理、簿記、出納,醫療保健業,2160,32359,30237,2122
2019,存貨事務人員,醫療保健業,423,31984,30524,1460
2019,人事事務人員,醫療保健業,904,34570,32331,2239
2019,服務及銷售工作人員,醫療保健業,6795,31649,28344,3305
2019,廚師,醫療保健業,457,38725,35725,3000
2019,餐飲服務人員,醫療保健業,265,29368,28300,1068
2019,美髮、美容及造型設計人員,醫療保健業,465,26742,23469,3273
2019,宿舍舍監,醫療保健業,… ,… ,… ,… 
2019,按摩師,醫療保健業,6,36688,36688,— 
2019,展售說明人員,醫療保健業,… ,… ,… ,… 
2019,兒童照顧人員(含保母),醫療保健業,289,37313,31540,5773
2019,健康照顧人員(含看護、月子照護),醫療保健業,4780,29630,26970,2660
2019,建築物管理員、保全及警衛人員,醫療保健業,514,46559,37026,9533
2019,技藝、機械設備操作及組裝人員,醫療保健業,3793,40393,36574,3819
2019,園藝及農牧業生產人員,醫療保健業,… ,… ,… ,… 
2019,營建木作人員,醫療保健業,52,48744,40317,8427
2019,空調及冷凍機械裝修人員,醫療保健業,165,45293,39650,5643
2019,精密儀器製造及修理人員,醫療保健業,291,48020,43111,4909
2019,建築物電力系統裝修人員(含水電工),醫療保健業,910,42957,40649,2308
2019,電力機械裝修人員,醫療保健業,358,40864,35972,4892
2019,木材處理、家具木工及有關工作人員,醫療保健業,6,34709,33435,1274
2019,洗滌工、熨燙工,醫療保健業,146,42363,37918,4445
2019,蒸汽引擎及鍋爐操作人員,醫療保健業,177,32928,30772,2156
2019,機車送件駕駛人員,醫療保健業,… ,… ,… ,… 
2019,小客、貨車駕駛人員,醫療保健業,1282,35358,31688,3670
2019,大客、貨車駕駛人員,醫療保健業,389,44103,38785,5318
2019,基層技術工及勞力工,醫療保健業,10050,30458,26821,3637
2019,清潔及家事工作人員(含建築清潔工),醫療保健業,3844,30694,25272,5422
2019,勞力工,醫療保健業,4137,30899,29323,1576
2019,廢棄物收集工及回收資源分類工,醫療保健業,132,37499,32425,5074
2019,廚房幫工(含速食烹調),醫療保健業,1937,28564,24168,4396
