年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,藝術、娛樂及休閒服務業各業,7588,73250,71446,1804
2019,高階主管(總經理及總執行長),藝術、娛樂及休閒服務業各業,588,150395,149595,800
2019,中階主管(經理),藝術、娛樂及休閒服務業各業,2031,89632,85369,4263
2019,監督人員(含現場及辦公室主任、科/股長),藝術、娛樂及休閒服務業各業,4969,57425,56507,918
2019,專業人員,藝術、娛樂及休閒服務業各業,4436,36846,36309,537
2019,農、林、漁、牧業專業人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,電機工程師,藝術、娛樂及休閒服務業各業,16,57480,55622,1858
2019,景觀設計師,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,平面及多媒體設計師,藝術、娛樂及休閒服務業各業,361,45414,45167,247
2019,護理人員,藝術、娛樂及休閒服務業各業,26,37852,37852,— 
2019,獸醫師,藝術、娛樂及休閒服務業各業,9,46927,46927,— 
2019,勞安及衛生管理人員(含工業安全管理師),藝術、娛樂及休閒服務業各業,16,37549,37455,94
2019,其他醫療保健專業人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,風險控管人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,財務、經濟及投資分析研究人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,專案管理師(含經營管理顧問),藝術、娛樂及休閒服務業各業,21,59300,59300,— 
2019,稽核人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,人力資源管理師,藝術、娛樂及休閒服務業各業,37,59392,59049,343
2019,廣告及行銷專業人員(含企劃),藝術、娛樂及休閒服務業各業,950,42467,41521,946
2019,公關專業人員,藝術、娛樂及休閒服務業各業,10,40461,40461,— 
2019,資訊系統分析及設計師,藝術、娛樂及休閒服務業各業,22,55360,55055,305
2019,軟體開發及程式設計師,藝術、娛樂及休閒服務業各業,40,62717,62603,114
2019,資料庫及網路專業人員,藝術、娛樂及休閒服務業各業,53,49005,48954,51
2019,翻譯人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,表演藝術人員(含演員、配音員),藝術、娛樂及休閒服務業各業,2367,29604,29602,2
2019,電影、舞台及有關導演與製作人,藝術、娛樂及休閒服務業各業,476,46336,43539,2797
2019,技術員及助理專業人員,藝術、娛樂及休閒服務業各業,10494,39925,38853,1072
2019,營建工程技術員(含建築、土木、景觀、測量、水利),藝術、娛樂及休閒服務業各業,33,49135,48173,962
2019,電機技術員,藝術、娛樂及休閒服務業各業,203,42546,41503,1043
2019,電子技術員,藝術、娛樂及休閒服務業各業,157,37815,37815,— 
2019,機械技術員(含造船、輪機、鑄造),藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,環境工程技術員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,勞安及衛生技術員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,會計人員,藝術、娛樂及休閒服務業各業,16,52074,52074,— 
2019,工商業銷售代表(含業務員),藝術、娛樂及休閒服務業各業,1695,30037,29666,371
2019,採購員,藝術、娛樂及休閒服務業各業,81,32212,32097,115
2019,會議及活動規劃人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,專業秘書,藝術、娛樂及休閒服務業各業,43,49904,47942,1962
2019,法務人員,藝術、娛樂及休閒服務業各業,6,31896,31738,158
2019,職業運動員,藝術、娛樂及休閒服務業各業,234,123974,123613,361
2019,運動、健身及休閒娛樂指導員,藝術、娛樂及休閒服務業各業,4908,38507,38072,435
2019,節目助理及舞台相關工作人員,藝術、娛樂及休閒服務業各業,893,37341,34876,2465
2019,資訊管理及維護技術員,藝術、娛樂及休閒服務業各業,217,39684,39576,108
2019,廣播及視聽技術員(含放映員),藝術、娛樂及休閒服務業各業,531,51423,40454,10969
2019,事務支援人員,藝術、娛樂及休閒服務業各業,11151,32846,32590,256
2019,總務,藝術、娛樂及休閒服務業各業,867,37451,37367,84
2019,一般辦公室事務人員(含文書),藝術、娛樂及休閒服務業各業,2763,34334,33749,585
2019,資料輸入人員,藝術、娛樂及休閒服務業各業,16,40159,40159,— 
2019,收帳、收費人員(含帳款催收),藝術、娛樂及休閒服務業各業,207,36267,35836,431
2019,接待員及服務台事務人員,藝術、娛樂及休閒服務業各業,4944,30569,30419,150
2019,總機人員,藝術、娛樂及休閒服務業各業,171,34597,34528,69
2019,電話及網路客服人員,藝術、娛樂及休閒服務業各業,137,35548,35236,312
2019,會計助理、簿記、出納,藝術、娛樂及休閒服務業各業,1927,33383,33247,136
2019,存貨事務人員,藝術、娛樂及休閒服務業各業,44,39908,39812,96
2019,人事事務人員,藝術、娛樂及休閒服務業各業,75,36883,36805,78
2019,服務及銷售工作人員,藝術、娛樂及休閒服務業各業,23207,32979,32678,301
2019,導遊、領隊及解說員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,廚師,藝術、娛樂及休閒服務業各業,1402,47728,46772,956
2019,飲料調配及調酒員,藝術、娛樂及休閒服務業各業,583,35359,35038,321
2019,餐飲服務人員,藝術、娛樂及休閒服務業各業,7979,32099,31823,276
2019,美髮、美容及造型設計人員,藝術、娛樂及休閒服務業各業,48,37014,37014,— 
2019,旅館管家,藝術、娛樂及休閒服務業各業,62,30753,28687,2066
2019,按摩師,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,伴舞陪酒人員,藝術、娛樂及休閒服務業各業,345,25981,25981,— 
2019,商店銷售人員(含百貨公司樓管人員),藝術、娛樂及休閒服務業各業,3374,38724,38557,167
2019,收銀員及售票員,藝術、娛樂及休閒服務業各業,6480,30031,29787,244
2019,展售說明人員,藝術、娛樂及休閒服務業各業,1164,31240,31114,126
2019,餐食服務櫃台工作人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,建築物管理員、保全及警衛人員,藝術、娛樂及休閒服務業各業,334,33947,33900,47
2019,救生員,藝術、娛樂及休閒服務業各業,1418,25053,24483,570
2019,技藝、機械設備操作及組裝人員,藝術、娛樂及休閒服務業各業,951,36531,36254,277
2019,園藝及農牧業生產人員,藝術、娛樂及休閒服務業各業,335,36337,35736,601
2019,營建木作人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,油漆、噴漆人員(含裱糊工),藝術、娛樂及休閒服務業各業,10,28717,28717,— 
2019,車輛維修人員(含自行車、機車、汽車、火車),藝術、娛樂及休閒服務業各業,25,38983,38918,65
2019,產業用機器維修人員,藝術、娛樂及休閒服務業各業,39,42216,42003,213
2019,各種材質手工藝人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,美編及印刷前置工作人員,藝術、娛樂及休閒服務業各業,… ,… ,… ,… 
2019,建築物電力系統裝修人員(含水電工),藝術、娛樂及休閒服務業各業,53,44878,44501,377
