年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2019,主管及監督人員,其他服務業各業,10305,56228,54461,1767
2019,高階主管(總經理及總執行長),其他服務業各業,145,172140,139898,32242
2019,中階主管(經理),其他服務業各業,1745,80980,76044,4936
2019,監督人員(含現場及辦公室主任、科/股長),其他服務業各業,8415,49098,48513,585
2019,專業人員,其他服務業各業,205,49025,47124,1901
2019,電機工程師,其他服務業各業,42,51532,44105,7427
2019,電子工程師,其他服務業各業,16,42415,41938,477
2019,平面及多媒體設計師,其他服務業各業,… ,… ,… ,… 
2019,稽核人員,其他服務業各業,… ,… ,… ,… 
2019,廣告及行銷專業人員(含企劃),其他服務業各業,57,40880,40672,208
2019,公關專業人員,其他服務業各業,17,40714,37292,3422
2019,軟體開發及程式設計師,其他服務業各業,33,64110,64110,— 
2019,資料庫及網路專業人員,其他服務業各業,18,50821,50821,— 
2019,翻譯人員,其他服務業各業,… ,… ,… ,… 
2019,技術員及助理專業人員,其他服務業各業,5844,41773,37372,4401
2019,營建工程技術員(含建築、土木、景觀、測量、水利),其他服務業各業,… ,… ,… ,… 
2019,電機技術員,其他服務業各業,655,37467,37151,316
2019,電子技術員,其他服務業各業,1875,40675,38562,2113
2019,冷凍空調技術員,其他服務業各業,… ,… ,… ,… 
2019,品管技術員,其他服務業各業,20,33899,33899,— 
2019,製圖員,其他服務業各業,… ,… ,… ,… 
2019,會計人員,其他服務業各業,69,51577,51570,7
2019,工商業銷售代表(含業務員),其他服務業各業,1129,50591,38177,12414
2019,採購員,其他服務業各業,222,30005,29226,779
2019,會議及活動規劃人員,其他服務業各業,… ,… ,… ,… 
2019,法務人員,其他服務業各業,… ,… ,… ,… 
2019,資訊管理及維護技術員,其他服務業各業,1497,40035,35120,4915
2019,事務支援人員,其他服務業各業,14521,30211,29233,978
2019,總務,其他服務業各業,491,33733,33572,161
2019,一般辦公室事務人員(含文書),其他服務業各業,4081,29757,29173,584
2019,資料輸入人員,其他服務業各業,158,34449,30114,4335
2019,收帳、收費人員(含帳款催收),其他服務業各業,227,36066,35825,241
2019,接待員及服務台事務人員,其他服務業各業,3747,31239,30007,1232
2019,總機人員,其他服務業各業,63,29086,27190,1896
2019,電話及網路客服人員,其他服務業各業,246,32239,29001,3238
2019,會計助理、簿記、出納,其他服務業各業,4376,27722,27174,548
2019,統計、財務、證券及保險事務人員,其他服務業各業,… ,… ,… ,… 
2019,存貨事務人員,其他服務業各業,775,36310,32425,3885
2019,生產及物料規劃事務人員,其他服務業各業,… ,… ,… ,… 
2019,人事事務人員,其他服務業各業,352,29826,29665,161
2019,服務及銷售工作人員,其他服務業各業,50858,29587,28035,1552
2019,廚師,其他服務業各業,58,39573,39384,189
2019,餐飲服務人員,其他服務業各業,717,28240,28240,— 
2019,美髮、美容及造型設計人員,其他服務業各業,36216,27104,26495,609
2019,殯葬服務人員,其他服務業各業,5267,44685,34292,10393
2019,寵物美容師及動物照料工作人員,其他服務業各業,1032,28703,28432,271
2019,按摩師,其他服務業各業,6424,30303,30253,50
2019,商店銷售人員(含百貨公司樓管人員),其他服務業各業,259,32879,32132,747
2019,收銀員及售票員,其他服務業各業,8,29800,29800,— 
2019,展售說明人員,其他服務業各業,793,37086,35412,1674
2019,電話及網路行銷人員,其他服務業各業,28,30399,30311,88
2019,建築物管理員、保全及警衛人員,其他服務業各業,56,34516,34516,— 
2019,技藝、機械設備操作及組裝人員,其他服務業各業,25809,31541,30287,1254
2019,絕緣材料安裝人員,其他服務業各業,… ,… ,… ,… 
2019,空調及冷凍機械裝修人員,其他服務業各業,… ,… ,… ,… 
2019,油漆、噴漆人員(含裱糊工),其他服務業各業,829,33279,33063,216
2019,板金人員,其他服務業各業,847,34105,33492,613
2019,車輛維修人員(含自行車、機車、汽車、火車),其他服務業各業,16111,32301,30934,1367
2019,產業用機器維修人員,其他服務業各業,… ,… ,… ,… 
2019,各種材質手工藝人員,其他服務業各業,… ,… ,… ,… 
2019,電力機械裝修人員,其他服務業各業,525,37617,31028,6589
2019,資(通)訊設備裝修人員(含電信、電話),其他服務業各業,1231,30300,27466,2834
2019,電子設備裝修人員（不含資通訊設備）,其他服務業各業,424,32199,31879,320
2019,非食品飲料產品分級及檢查人員,其他服務業各業,… ,… ,… ,… 
2019,縫製機械操作人員(含裁縫、刺繡),其他服務業各業,11,29566,29566,— 
2019,洗滌工、熨燙工,其他服務業各業,5185,27332,26970,362
2019,小客、貨車駕駛人員,其他服務業各業,407,42363,41649,714
2019,大客、貨車駕駛人員,其他服務業各業,49,38850,35547,3303
2019,推土、吊車、起重機等移運設備操作人員,其他服務業各業,… ,… ,… ,… 
2019,基層技術工及勞力工,其他服務業各業,6512,28363,27381,982
2019,清潔及家事工作人員(含建築清潔工),其他服務業各業,4423,27748,27117,631
2019,勞力工,其他服務業各業,2054,29738,27984,1754
2019,廚房幫工(含速食烹調),其他服務業各業,35,25341,25341,— 
2019,主管及監督人員,個人及家庭用品維修業,3898,57718,54114,3604
2019,高階主管(總經理及總執行長),個人及家庭用品維修業,77,191109,130394,60715
2019,中階主管(經理),個人及家庭用品維修業,822,72424,64126,8298
2019,監督人員(含現場及辦公室主任、科/股長),個人及家庭用品維修業,2999,50263,49411,852
2019,專業人員,個人及家庭用品維修業,100,43783,41087,2696
2019,電機工程師,個人及家庭用品維修業,… ,… ,… ,… 
2019,電子工程師,個人及家庭用品維修業,16,42415,41938,477
2019,平面及多媒體設計師,個人及家庭用品維修業,— ,— ,— ,— 
2019,稽核人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,廣告及行銷專業人員(含企劃),個人及家庭用品維修業,24,39566,39179,387
2019,公關專業人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,軟體開發及程式設計師,個人及家庭用品維修業,… ,… ,… ,… 
2019,資料庫及網路專業人員,個人及家庭用品維修業,… ,… ,… ,… 
2019,翻譯人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,技術員及助理專業人員,個人及家庭用品維修業,5270,42219,37445,4774
2019,營建工程技術員(含建築、土木、景觀、測量、水利),個人及家庭用品維修業,— ,— ,— ,— 
2019,電機技術員,個人及家庭用品維修業,655,37467,37151,316
2019,電子技術員,個人及家庭用品維修業,1875,40675,38562,2113
2019,冷凍空調技術員,個人及家庭用品維修業,… ,… ,… ,… 
2019,品管技術員,個人及家庭用品維修業,— ,— ,— ,— 
2019,製圖員,個人及家庭用品維修業,— ,— ,— ,— 
2019,會計人員,個人及家庭用品維修業,33,52335,52335,— 
2019,工商業銷售代表(含業務員),個人及家庭用品維修業,749,58632,40522,18110
2019,採購員,個人及家庭用品維修業,196,28853,27970,883
2019,會議及活動規劃人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,法務人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,資訊管理及維護技術員,個人及家庭用品維修業,1395,39804,34605,5199
2019,事務支援人員,個人及家庭用品維修業,8589,29547,28239,1308
2019,總務,個人及家庭用品維修業,279,33753,33628,125
2019,一般辦公室事務人員(含文書),個人及家庭用品維修業,2461,28740,28117,623
2019,資料輸入人員,個人及家庭用品維修業,… ,… ,… ,… 
2019,收帳、收費人員(含帳款催收),個人及家庭用品維修業,52,26994,25940,1054
2019,接待員及服務台事務人員,個人及家庭用品維修業,1631,32620,30689,1931
2019,總機人員,個人及家庭用品維修業,… ,… ,… ,… 
2019,電話及網路客服人員,個人及家庭用品維修業,237,32284,28923,3361
2019,會計助理、簿記、出納,個人及家庭用品維修業,2887,25970,25238,732
2019,統計、財務、證券及保險事務人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,存貨事務人員,個人及家庭用品維修業,736,36575,32499,4076
2019,生產及物料規劃事務人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,人事事務人員,個人及家庭用品維修業,166,29199,29065,134
2019,服務及銷售工作人員,個人及家庭用品維修業,950,36604,35021,1583
2019,廚師,個人及家庭用品維修業,— ,— ,— ,— 
2019,餐飲服務人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,美髮、美容及造型設計人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,殯葬服務人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,寵物美容師及動物照料工作人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,按摩師,個人及家庭用品維修業,— ,— ,— ,— 
2019,商店銷售人員(含百貨公司樓管人員),個人及家庭用品維修業,252,32961,32259,702
2019,收銀員及售票員,個人及家庭用品維修業,— ,— ,— ,— 
2019,展售說明人員,個人及家庭用品維修業,681,38155,36206,1949
2019,電話及網路行銷人員,個人及家庭用品維修業,… ,… ,… ,… 
2019,建築物管理員、保全及警衛人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,技藝、機械設備操作及組裝人員,個人及家庭用品維修業,20181,32390,30898,1492
2019,絕緣材料安裝人員,個人及家庭用品維修業,… ,… ,… ,… 
2019,空調及冷凍機械裝修人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,油漆、噴漆人員(含裱糊工),個人及家庭用品維修業,829,33279,33063,216
2019,板金人員,個人及家庭用品維修業,847,34105,33492,613
2019,車輛維修人員(含自行車、機車、汽車、火車),個人及家庭用品維修業,16111,32301,30934,1367
2019,產業用機器維修人員,個人及家庭用品維修業,— ,— ,— ,— 
2019,各種材質手工藝人員,個人及家庭用品維修業,… ,… ,… ,… 
